ano_particao;MES_ESTIMADO;NOME_MES;vr_icms;vr_ipva;vr_ipi;DATA_BASE
2021;1;Janeiro;1516076.17;2450460;19828.4;2021-01-01
2021;2;Fevereiro;1399845.14;692510;16219.64;2021-02-01
2021;3;Março;1612321.18;727684;19258.86;2021-03-01
2021;4;Abril;1280820.99;258036;19316.99;2021-04-01
2021;5;Maio;1439335.58;173522;18671.24;2021-05-01
2021;6;Junho;1815439.09;133138;17168.21;2021-06-01
2021;7;Julho;1518416.69;118571;19872.34;2021-07-01
2021;8;Agosto;2159561.21;107788;16710.9;2021-08-01
2021;9;Setembro;1570623.48;97108;19882.85;2021-09-01
2021;10;Outubro;1745125.98;57091;20339.17;2021-10-01
2021;11;Novembro;2082376.13;47221;19484.99;2021-11-01
2021;12;Dezembro;1506316.43;75602;19919.62;2021-12-01
2022;1;Janeiro;1757011.46;352567;23834.53;2022-01-01
2022;2;Fevereiro;1543889.82;276514;21310.96;2022-02-01
2022;3;Março;1867169.72;2514960;24039.46;2022-03-01
2022;4;Abril;1569004.86;689971;24253.2;2022-04-01
2022;5;Maio;2107550.0;765412;12850.06;2022-05-01
2022;6;Junho;1524850.58;379632;18015.18;2022-06-01
2022;7;Julho;1733856.07;204259;18548.04;2022-07-01
2022;8;Agosto;1848342.73;167879;14773.87;2022-08-01
2022;9;Setembro;1447898.84;118617;19489.88;2022-09-01
2022;10;Outubro;1589920.82;100887;19992.46;2022-10-01
2022;11;Novembro;1645570.58;133421;14578.87;2022-11-01
2022;12;Dezembro;1616134.31;145190;20713.23;2022-12-01
2023;1;Janeiro;1933080.04;663845;18280.51;2023-01-01
2023;2;Fevereiro;1380494.19;454614;13212.15;2023-02-01
2023;3;Março;1597122.91;3607318;16369.07;2023-03-01
2023;4;Abril;1842839.5;1198082;17552.82;2023-04-01
2023;5;Maio;0.0;1128365;0.0;2023-05-01
2023;6;Junho;1741144.53;380741;19491.64;2023-06-01
2023;7;Julho;1711755.22;347347;17729.12;2023-07-01
2023;8;Agosto;2191004.12;286489;15778.53;2023-08-01
2023;9;Setembro;1859739.75;210571;20568.53;2023-09-01
2023;10;Outubro;2162671.1;194382;23026.63;2023-10-01
2023;11;Novembro;1774823.36;152683;18866.38;2023-11-01
2023;12;Dezembro;2102230.57;132542;20537.34;2023-12-01
2024;1;Janeiro;2243887.29;4586921;20968.52;2024-01-01
2024;2;Fevereiro;1707349.34;1462923;21808.2;2024-02-01
2024;3;Março;1923350.32;1389327;25620.63;2024-03-01
2024;4;Abril;2262082.43;570866;22142.99;2024-04-01
2024;5;Maio;1900979.94;352798;23306.24;2024-05-01
2024;6;Junho;1949543.77;302378;29285.89;2024-06-01
2024;7;Julho;2641226.78;233056;25706.57;2024-07-01
2024;8;Agosto;2057592.41;269879;34789.59;2024-08-01
2024;9;Setembro;2030985.31;179639;37976.35;2024-09-01
2024;10;Outubro;2599865.47;175616;25783.29;2024-10-01
2024;11;Novembro;2224925.96;138654;28633.16;2024-11-01
2024;12;Dezembro;2530972.66;133293;33497.8;2024-12-01
2025;1;Janeiro;2200092.31;1535676;26699.8;2025-01-01
2025;2;Fevereiro;2048951.46;4159504;30202.6;2025-02-01
2025;3;Março;2217173.63;1580940;32550.86;2025-03-01
2025;4;Abril;2732201.15;1490813;30845.83;2025-04-01
2025;5;Maio;2232332.24;498243;29967.36;2025-05-01
2025;6;Junho;2249823.79;348507;34115.42;2025-06-01
2025;7;Julho;2826525.19;334674;29263.4;2025-07-01
2025;8;Agosto;2367323.71;244597;32320.25;2025-08-01
2025;9;Setembro;2673794.21;219950;34274.97;2025-09-01
2025;10;Outubro;2397497.07;209543;32869.91;2025-10-01
2025;11;Novembro;2344427.64;169872;32487.34;2025-11-01
2025;12;Dezembro;3005840.86;153894;39352.04;2025-12-01
