ano_particao;MES_ESTIMADO;NOME_MES;vr_icms;vr_ipva;vr_ipi;DATA_BASE
2021;1;Janeiro;8927350.03;16503795;116004.51;2021-01-01
2021;2;Fevereiro;8189559.11;6612313;94889.9;2021-02-01
2021;3;Março;9428591.89;6398308;112673.16;2021-03-01
2021;4;Abril;7492861.12;2388694;113004.79;2021-04-01
2021;5;Maio;8420127.93;1366950;109226.94;2021-05-01
2021;6;Junho;10601760.38;1435056;100216.93;2021-06-01
2021;7;Julho;8845917.5;1119305;115743.62;2021-07-01
2021;8;Agosto;12578052.67;969753;97330.28;2021-08-01
2021;9;Setembro;9147902.03;891648;115805.29;2021-09-01
2021;10;Outubro;9991680.25;680172;115864.1;2021-10-01
2021;11;Novembro;11862435.01;617205;110997.88;2021-11-01
2021;12;Dezembro;8580912.98;1052388;113474.59;2021-12-01
2022;1;Janeiro;9828494.91;3298307;132679.71;2022-01-01
2022;2;Fevereiro;8594407.31;2549754;118632.4;2022-02-01
2022;3;Março;10393099.0;15678991;133805.83;2022-03-01
2022;4;Abril;8837248.38;5853627;136775.67;2022-04-01
2022;5;Maio;11912828.43;6434464;72671.07;2022-05-01
2022;6;Junho;8621446.82;3284827;101856.11;2022-06-01
2022;7;Julho;9811467.69;1991198;104980.88;2022-07-01
2022;8;Agosto;10463704.51;1720731;83640.29;2022-08-01
2022;9;Setembro;8197079.03;1392350;110339.34;2022-09-01
2022;10;Outubro;8964664.5;1268549;112634.33;2022-10-01
2022;11;Novembro;9249006.79;2102940;81898.79;2022-11-01
2022;12;Dezembro;9078843.52;1580448;116359.29;2022-12-01
2023;1;Janeiro;10542953.75;5074762;99265.36;2023-01-01
2023;2;Fevereiro;7348820.3;4153059;70332.59;2023-02-01
2023;3;Março;8503381.41;21178907;87154.72;2023-03-01
2023;4;Abril;9812255.16;9402593;93461.25;2023-04-01
2023;5;Maio;0.0;9594242;0.0;2023-05-01
2023;6;Junho;9294449.19;3496283;104047.65;2023-06-01
2023;7;Julho;9134816.51;2790048;94607.68;2023-07-01
2023;8;Agosto;11696125.12;2966732;84237.28;2023-08-01
2023;9;Setembro;9930835.99;2535277;109836.09;2023-09-01
2023;10;Outubro;11527042.48;2149393;122698.03;2023-10-01
2023;11;Novembro;9457051.78;1447648;100528.39;2023-11-01
2023;12;Dezembro;11201553.16;1256289;109431.33;2023-12-01
2024;1;Janeiro;10456263.73;28017733;96212.91;2024-01-01
2024;2;Fevereiro;7833954.61;11169285;100063.99;2024-02-01
2024;3;Março;8825040.37;10522508;117556.97;2024-03-01
2024;4;Abril;10380133.06;4520792;101609.74;2024-04-01
2024;5;Maio;8723215.06;3174430;106947.66;2024-05-01
2024;6;Junho;8946064.7;2633843;134387.06;2024-06-01
2024;7;Julho;12187266.56;2526464;118787.16;2024-07-01
2024;8;Agosto;9507898.9;2299403;160758.72;2024-08-01
2024;9;Setembro;9384950.43;2163334;175484.38;2024-09-01
2024;10;Outubro;12013685.19;1917103;119141.67;2024-10-01
2024;11;Novembro;10281132.94;1373502;132310.68;2024-11-01
2024;12;Dezembro;11728596.88;1210760;155278.01;2024-12-01
2025;1;Janeiro;9632172.33;10161813;116789.35;2025-01-01
2025;2;Fevereiro;8962874.69;24449793;132118.16;2025-02-01
2025;3;Março;9752108.65;12307991;143646.48;2025-03-01
2025;4;Abril;11962434.0;11315852;135080.7;2025-04-01
2025;5;Maio;9775874.49;3832003;131233.58;2025-05-01
2025;6;Junho;9852473.79;3186864;149398.97;2025-06-01
2025;7;Julho;12380681.38;3382021;128185.52;2025-07-01
2025;8;Agosto;10369837.16;2451883;141575.81;2025-08-01
2025;9;Setembro;11712300.06;2789767;150138.21;2025-09-01
2025;10;Outubro;10502008.83;2133556;143983.54;2025-10-01
2025;11;Novembro;10269543.34;1433902;142307.82;2025-11-01
2025;12;Dezembro;13166801.34;1239089;172377.88;2025-12-01
