Nome_Cidade_API;Data_Ref;year;Tipo_Operacao;Codigo_SH4;Pais_Parceiro;Valor_USD;Peso_KG
Divinópolis - MG;01/06/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;10571546;13971000
Divinópolis - MG;01/09/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;9584430;13285000
Divinópolis - MG;01/03/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;8037253;15463000
Divinópolis - MG;01/07/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;7233087;8103000
Divinópolis - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;6561988;11843630
Divinópolis - MG;01/05/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;5092171;9053220
Divinópolis - MG;01/02/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Turquia;3429920;7030000
Divinópolis - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;México;3334500;7410000
Divinópolis - MG;01/01/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;China;3318240;6913000
Divinópolis - MG;01/11/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;2790001;3000000
Divinópolis - MG;01/12/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;2715100;5879000
Divinópolis - MG;01/05/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;México;2691326;4717000
Divinópolis - MG;01/02/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;2506000;5012000
Divinópolis - MG;01/04/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Turquia;2442960;4698000
Divinópolis - MG;01/03/2022;2022;export;Produtos semimanufacturados de ferro ou aço não ligado;Bolívia;2175729;3779424
Divinópolis - MG;01/08/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;México;1991132;3461000
Divinópolis - MG;01/02/2022;2022;export;Produtos semimanufacturados de ferro ou aço não ligado;Bolívia;1953663;3386592
Divinópolis - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Países Baixos (Holanda);1747104;2689000
Divinópolis - MG;01/09/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);1675931;2906000
Divinópolis - MG;01/11/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);1642374;3300000
Divinópolis - MG;01/12/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;México;1440000;3000000
Divinópolis - MG;01/03/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;China;1374960;2696000
Divinópolis - MG;01/04/2022;2022;export;"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e";Reino Unido;1340984;5513
Divinópolis - MG;01/05/2022;2022;export;"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e";Reino Unido;1325310;5511
Divinópolis - MG;01/06/2022;2022;export;"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e";Reino Unido;1325190;5513
Divinópolis - MG;01/01/2022;2022;export;"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e";Reino Unido;1315500;5511
Divinópolis - MG;01/07/2022;2022;export;"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e";Reino Unido;1310922;5513
Divinópolis - MG;01/03/2022;2022;export;"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e";Reino Unido;1304595;5512
Divinópolis - MG;01/09/2022;2022;export;"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e";Reino Unido;1283132;5511
Divinópolis - MG;01/07/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Itália;1236741;1890000
Divinópolis - MG;01/08/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;1232578;1486000
Divinópolis - MG;01/02/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;China;1204503;2409000
Divinópolis - MG;01/05/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Países Baixos (Holanda);1184995;2017000
Divinópolis - MG;01/12/2022;2022;export;"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e";Reino Unido;1111841;4685
Divinópolis - MG;01/10/2022;2022;export;"Produtos de origem animal, não especificados nem compreendidos em outras posições; animais mortos dos Capítulos 1 ou 3, impróprios para alimentação humana";Reino Unido;1099680;4739
Divinópolis - MG;01/06/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;México;1006000;2012000
Divinópolis - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Bangladesh;898650;1997000
Divinópolis - MG;01/04/2022;2022;export;Produtos semimanufacturados de ferro ou aço não ligado;Bolívia;730894;1273536
Divinópolis - MG;01/06/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);684300;1080000
Divinópolis - MG;01/05/2022;2022;export;Produtos semimanufacturados de ferro ou aço não ligado;Bolívia;649478;1129392
Divinópolis - MG;01/12/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Vietnã;559360;1026000
Divinópolis - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);474110;810000
Divinópolis - MG;01/09/2022;2022;export;Barras de ferro ou aço não ligado, simplesmente forjadas, laminadas, estiradas ou extrudadas, a quente, incluídas as que tenham sido submetidas a torção após laminagem;Bolívia;346351;499220
Divinópolis - MG;01/05/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);346200;540000
Divinópolis - MG;01/10/2022;2022;export;Barras de ferro ou aço não ligado, simplesmente forjadas, laminadas, estiradas ou extrudadas, a quente, incluídas as que tenham sido submetidas a torção após laminagem;Bolívia;345156;497963
