MUNICIPIO;NOME_INSTITUICAO;QTD_AGENCIAS;VALOR_OPERACOES_CREDITO;VALOR_DEPOSITOS_VISTA;VALOR_POUPANCA;VALOR_DEPOSITOS_PRAZO;DATA_REFERENCIA
CARMO DA MATA;BCO DO BRASIL S.A.;1;60969407;8063411;55217659;5191378;2023-02-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;64139875;7968976;54682292;5420180;2023-03-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;64745332;7717813;55075901;5780444;2023-04-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;64842896;8726071;54190485;5928752;2023-05-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;65372758;8687294;53676043;6111714;2023-06-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;67946925;8791600;53543155;6034642;2023-07-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;68848344;7627760;54406564;5779375;2023-08-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;72677728;7149283;53002106;6336136;2023-09-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;73443509;7336757;53321147;6158477;2023-10-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;69199328;6988236;52942737;6923842;2023-11-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;69040311;8277240;54889784;7043596;2023-12-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;70787327;7521549;54288544;7026381;2024-01-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;71830412;7926896;53897351;7196750;2024-02-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;71975214;8108874;53917780;7178876;2024-03-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;71499450;8395486;54151604;9435312;2024-04-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;70751976;8739354;54250650;9712289;2024-05-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;70426031;8885993;55943707;10198072;2024-06-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;72548374;11715318;56906877;10610018;2024-07-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;75134722;9381420;57214825;10396441;2024-08-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;74682272;10107555;58036529;10079646;2024-09-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;75335964;9141274;57360248;10530780;2024-10-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;77711009;11140269;57852918;9534716;2024-11-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;76900946;11147907;59377349;9767015;2024-12-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;64558247;11623433;59013284;10142293;2025-01-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;74040596;8868355;58762946;9870363;2025-02-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;72961064;8728468;58525163;10062174;2025-03-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;72744719;9491809;58044380;10766230;2025-04-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;72293429;7541170;57429019;10911296;2025-05-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;72140452;10213259;57890878;11234676;2025-06-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;72661987;8741543;58247000;11350920;2025-07-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;72677873;10172534;58289843;11619660;2025-08-01
CARMO DA MATA;BCO DO BRASIL S.A.;1;71695764;10780164;59291346;11372314;2025-09-01
