MUNICIPIO;NOME_INSTITUICAO;QTD_AGENCIAS;VALOR_OPERACOES_CREDITO;VALOR_DEPOSITOS_VISTA;VALOR_POUPANCA;VALOR_DEPOSITOS_PRAZO;DATA_REFERENCIA
NOVA SERRANA;BCO BRADESCO S.A.;1;13369961;11282385;18025774;79715119;2023-02-01
NOVA SERRANA;BCO DO BRASIL S.A.;1;57562701;14891568;39382647;50984204;2023-02-01
NOVA SERRANA;CAIXA ECONOMICA FEDERAL;1;802878669;15755265;163190566;376811;2023-02-01
NOVA SERRANA;ITAÚ UNIBANCO S.A.;2;81531396;5926104;71332845;79656363;2023-02-01
NOVA SERRANA;BCO BRADESCO S.A.;1;13214998;7377995;17507213;78470125;2023-03-01
NOVA SERRANA;BCO DO BRASIL S.A.;1;58250439;11367702;38530117;56895062;2023-03-01
NOVA SERRANA;CAIXA ECONOMICA FEDERAL;1;809191767;23253590;162884175;396515;2023-03-01
NOVA SERRANA;ITAÚ UNIBANCO S.A.;2;81226419;5072327;69797258;78999134;2023-03-01
NOVA SERRANA;BCO BRADESCO S.A.;1;12627432;6554951;16206859;75804684;2023-04-01
NOVA SERRANA;BCO DO BRASIL S.A.;1;58879640;9871052;37762140;56305754;2023-04-01
NOVA SERRANA;CAIXA ECONOMICA FEDERAL;1;814403267;27174994;163850622;402637;2023-04-01
NOVA SERRANA;ITAÚ UNIBANCO S.A.;2;89566760;4742416;67744911;77715068;2023-04-01
NOVA SERRANA;BCO BRADESCO S.A.;1;12796626;9169138;17305247;77401758;2023-05-01
NOVA SERRANA;BCO DO BRASIL S.A.;1;58579764;12807614;37697406;53953968;2023-05-01
NOVA SERRANA;CAIXA ECONOMICA FEDERAL;1;827821461;18730623;162507216;399106;2023-05-01
NOVA SERRANA;ITAÚ UNIBANCO S.A.;2;90550178;5128551;67229354;82830197;2023-05-01
NOVA SERRANA;BCO BRADESCO S.A.;1;12833351;7470632;17921845;61823227;2023-06-01
NOVA SERRANA;BCO DO BRASIL S.A.;1;58829809;11941469;38395381;56838723;2023-06-01
NOVA SERRANA;CAIXA ECONOMICA FEDERAL;1;832205032;19783917;166756960;237948;2023-06-01
NOVA SERRANA;ITAÚ UNIBANCO S.A.;2;92274866;5142956;68338556;90454407;2023-06-01
NOVA SERRANA;BCO BRADESCO S.A.;1;13018063;8425618;17738931;64463511;2023-07-01
NOVA SERRANA;BCO DO BRASIL S.A.;1;58170881;12002602;38483483;63394700;2023-07-01
NOVA SERRANA;CAIXA ECONOMICA FEDERAL;1;834937569;19233080;168903763;237095;2023-07-01
NOVA SERRANA;ITAÚ UNIBANCO S.A.;2;93003975;5621475;69250248;97662044;2023-07-01
NOVA SERRANA;BCO BRADESCO S.A.;1;14863552;9617185;18353427;65497328;2023-08-01
NOVA SERRANA;BCO DO BRASIL S.A.;1;57618339;10485850;38776155;65671323;2023-08-01
NOVA SERRANA;CAIXA ECONOMICA FEDERAL;1;839158103;21109161;170469972;253296;2023-08-01
NOVA SERRANA;ITAÚ UNIBANCO S.A.;2;95575023;5245602;69223761;112710669;2023-08-01
NOVA SERRANA;BCO BRADESCO S.A.;1;15202471;8147778;18649107;65319684;2023-09-01
NOVA SERRANA;BCO DO BRASIL S.A.;1;58356779;11158150;38020920;69594276;2023-09-01
NOVA SERRANA;CAIXA ECONOMICA FEDERAL;1;843051980;18489029;172468893;255231;2023-09-01
NOVA SERRANA;ITAÚ UNIBANCO S.A.;2;97011868;5211997;69732041;105162846;2023-09-01
NOVA SERRANA;BCO BRADESCO S.A.;1;13698685;10263525;18632411;61118368;2023-10-01
NOVA SERRANA;BCO DO BRASIL S.A.;1;58704109;11294780;37653664;70484397;2023-10-01
NOVA SERRANA;CAIXA ECONOMICA FEDERAL;1;847567966;18141098;172612432;891010;2023-10-01
NOVA SERRANA;ITAÚ UNIBANCO S.A.;2;96956944;5298497;69693025;100574065;2023-10-01
NOVA SERRANA;BCO BRADESCO S.A.;1;14978495;9754958;19084439;70493012;2023-11-01
NOVA SERRANA;BCO DO BRASIL S.A.;1;58735181;13891064;37798971;70752016;2023-11-01
NOVA SERRANA;CAIXA ECONOMICA FEDERAL;1;862193456;20938349;178994509;264846;2023-11-01
NOVA SERRANA;ITAÚ UNIBANCO S.A.;2;100146085;6021529;70214026;106428758;2023-11-01
NOVA SERRANA;BCO BRADESCO S.A.;1;12930559;11099133;22921197;67751040;2023-12-01
NOVA SERRANA;BCO DO BRASIL S.A.;1;58475255;16094848;40048907;70493509;2023-12-01
NOVA SERRANA;CAIXA ECONOMICA FEDERAL;1;864377022;37858501;197774617;6760529;2023-12-01
NOVA SERRANA;ITAÚ UNIBANCO S.A.;2;97189506;6962220;74013991;119102258;2023-12-01
NOVA SERRANA;BCO BRADESCO S.A.;1;10826178;10191136;20194633;72962956;2024-01-01
