MUNICIPIO;NOME_INSTITUICAO;QTD_AGENCIAS;VALOR_OPERACOES_CREDITO;VALOR_DEPOSITOS_VISTA;VALOR_POUPANCA;VALOR_DEPOSITOS_PRAZO;DATA_REFERENCIA
OLIVEIRA;BCO BRADESCO S.A.;1;5109967;2340166;25512210;25830471;2023-02-01
OLIVEIRA;BCO DO BRASIL S.A.;1;268674624;17690080;64079169;51385762;2023-02-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;13728889;1185038;14510273;15111055;2023-02-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;222346237;6575773;179115357;2191165;2023-02-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;38610624;2176461;29082723;23153971;2023-02-01
OLIVEIRA;BCO BRADESCO S.A.;1;5052572;1963151;25156721;26522181;2023-03-01
OLIVEIRA;BCO DO BRASIL S.A.;1;270692163;15733345;60716443;50866422;2023-03-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;13002734;1724393;14714957;15734809;2023-03-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;230568828;8049619;179554074;2915594;2023-03-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;39859783;2120089;28838592;24431806;2023-03-01
OLIVEIRA;BCO BRADESCO S.A.;1;4450981;2033860;25522227;26111791;2023-04-01
OLIVEIRA;BCO DO BRASIL S.A.;1;271394206;16951284;60862329;53664170;2023-04-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;13166512;1039805;14618895;16648305;2023-04-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;232269304;7557962;181595379;2895742;2023-04-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;39754176;2289427;28997762;24780580;2023-04-01
OLIVEIRA;BCO BRADESCO S.A.;1;5687834;3178596;25793680;26247725;2023-05-01
OLIVEIRA;BCO DO BRASIL S.A.;1;272736210;17889162;61220522;52961539;2023-05-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;12414953;845193;14194864;20797198;2023-05-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;240909150;11327320;178968151;4523631;2023-05-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;42821153;2176583;28584433;28615671;2023-05-01
OLIVEIRA;BCO BRADESCO S.A.;1;5518166;2413641;25604632;26470856;2023-06-01
OLIVEIRA;BCO DO BRASIL S.A.;1;268708708;16048394;60997864;55845710;2023-06-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;12211109;1075771;14138522;17300462;2023-06-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;246015771;8022137;181533775;9446730;2023-06-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;45967466;2176064;27827567;32602445;2023-06-01
OLIVEIRA;BCO BRADESCO S.A.;1;5741792;2679345;26334843;29738514;2023-07-01
OLIVEIRA;BCO DO BRASIL S.A.;1;272158077;21552109;59867287;59859648;2023-07-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;11815496;1368638;14631239;17963763;2023-07-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;244798993;7992143;181644133;9308245;2023-07-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;45798998;2066512;27218038;33585158;2023-07-01
OLIVEIRA;BCO BRADESCO S.A.;1;5004803;2197945;26720743;27421678;2023-08-01
OLIVEIRA;BCO DO BRASIL S.A.;1;271631254;19178593;61252682;57051402;2023-08-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;11903241;1533736;15747247;15781829;2023-08-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;246677476;7666460;182475182;9472152;2023-08-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;46513598;1950551;26416018;35738016;2023-08-01
OLIVEIRA;BCO BRADESCO S.A.;1;4448662;2231946;26798217;28258859;2023-09-01
OLIVEIRA;BCO DO BRASIL S.A.;1;274844720;19005489;59874120;60767724;2023-09-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;11813509;1339462;15985782;16591119;2023-09-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;253343300;7687162;182099899;9001538;2023-09-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;43588152;2586314;26334106;38403703;2023-09-01
OLIVEIRA;BCO BRADESCO S.A.;1;4223110;3503198;27211237;31412493;2023-10-01
OLIVEIRA;BCO DO BRASIL S.A.;1;283091661;18659852;60378229;63824281;2023-10-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;12683708;1553612;14171220;19635898;2023-10-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;253680414;7517763;182198581;9528516;2023-10-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;46547646;1939355;26233706;40927680;2023-10-01
OLIVEIRA;BCO BRADESCO S.A.;1;4983632;2481704;26913849;31388233;2023-11-01
OLIVEIRA;BCO DO BRASIL S.A.;1;278435255;20336741;65748157;60345518;2023-11-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;12362654;808145;13686005;24423922;2023-11-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;258616159;9942373;182312339;8836100;2023-11-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;47068771;2142573;25721511;37522824;2023-11-01
OLIVEIRA;BCO BRADESCO S.A.;1;4932322;2792341;28159777;29458819;2023-12-01
OLIVEIRA;BCO DO BRASIL S.A.;1;278178285;23823540;61243162;62722913;2023-12-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;12469207;1258600;13974340;25805292;2023-12-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;264391759;12109556;185385034;9316767;2023-12-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;47989805;2374289;25730329;39858555;2023-12-01
OLIVEIRA;BCO BRADESCO S.A.;1;5537685;2266688;26141372;30781485;2024-01-01
OLIVEIRA;BCO DO BRASIL S.A.;1;277181442;23562522;60327289;60928878;2024-01-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;12230580;1046634;13072875;22705963;2024-01-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;260072850;8307615;181338968;11988252;2024-01-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;47812420;2379348;25079841;36336748;2024-01-01
OLIVEIRA;BCO BRADESCO S.A.;1;6110169;2995405;26415885;30421038;2024-02-01
OLIVEIRA;BCO DO BRASIL S.A.;1;276523333;22047935;58934481;59888171;2024-02-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;11875355;1755306;12762778;23162616;2024-02-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;262532189;10427655;183746942;11800585;2024-02-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;47806887;2580624;25061872;36495963;2024-02-01
OLIVEIRA;BCO BRADESCO S.A.;1;6159535;2365610;26927127;31346053;2024-03-01
OLIVEIRA;BCO DO BRASIL S.A.;1;281091920;18655957;59738340;66621910;2024-03-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;12832141;1107276;12428960;24167270;2024-03-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;271767923;9749857;184758622;13207359;2024-03-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;48978207;2375021;24885305;43089065;2024-03-01
OLIVEIRA;BCO BRADESCO S.A.;1;5437409;2561994;28347677;32256993;2024-04-01
OLIVEIRA;BCO DO BRASIL S.A.;1;283537772;16978292;59178915;66990779;2024-04-01
OLIVEIRA;BCO SANTANDER (BRASIL) S.A.;1;12380670;691538;12418752;27166403;2024-04-01
OLIVEIRA;CAIXA ECONOMICA FEDERAL;1;275427449;9369177;186288297;15657360;2024-04-01
OLIVEIRA;ITAÚ UNIBANCO S.A.;1;47030617;2430901;24508171;37681669;2024-04-01
OLIVEIRA;BCO BRADESCO S.A.;1;4983305;2421400;27933683;31128174;2024-05-01
OLIVEIRA;BCO DO BRASIL S.A.;1;298718475;20115727;59297194;80112022;2024-05-01
