MUNICIPIO;NOME_INSTITUICAO;QTD_AGENCIAS;VALOR_OPERACOES_CREDITO;VALOR_DEPOSITOS_VISTA;VALOR_POUPANCA;VALOR_DEPOSITOS_PRAZO;DATA_REFERENCIA
SANTO ANTONIO DO MONTE;BCO BRADESCO S.A.;1;1006221;383627;15415260;14621817;2023-02-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;148548117;6192933;34074278;19060706;2023-02-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;117730544;3974961;73271874;1234287;2023-02-01
SANTO ANTONIO DO MONTE;BCO BRADESCO S.A.;1;969220;300638;15873726;14607124;2023-03-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;148614465;5280875;33043320;17940315;2023-03-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;119987149;4843209;74067516;2804102;2023-03-01
SANTO ANTONIO DO MONTE;BCO BRADESCO S.A.;1;961086;353264;15612030;14323598;2023-04-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;148744844;5319616;33915673;20203107;2023-04-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;119926562;5849905;75257666;2979223;2023-04-01
SANTO ANTONIO DO MONTE;BCO BRADESCO S.A.;1;1056971;476208;14518678;13704623;2023-05-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;144459300;6424897;33137411;20328571;2023-05-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;118906325;5299873;76051838;2316538;2023-05-01
SANTO ANTONIO DO MONTE;BCO BRADESCO S.A.;1;1250841;487877;14881144;15309850;2023-06-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;142909714;5695280;33832820;21785362;2023-06-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;119591130;7031879;77768133;2339045;2023-06-01
SANTO ANTONIO DO MONTE;BCO BRADESCO S.A.;1;1142309;240124;14743092;17012779;2023-07-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;141922651;5384647;34492968;21397562;2023-07-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;120015669;5291498;78548181;2362058;2023-07-01
SANTO ANTONIO DO MONTE;BCO BRADESCO S.A.;1;1122168;179403;14558680;17482180;2023-08-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;145280437;5729600;34985733;24035384;2023-08-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;125061737;7191001;78578008;2388825;2023-08-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;144973647;4572481;34242008;23267470;2023-09-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;127542983;7747395;79201100;2538398;2023-09-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;146478049;4821271;33941341;20998767;2023-10-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;130042502;4795046;79163726;2757229;2023-10-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;146269174;4330960;34819851;19260280;2023-11-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;131024469;6154684;78771039;2781691;2023-11-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;145617058;4731296;35082027;20154988;2023-12-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;131596219;5837215;80820524;3016694;2023-12-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;144916648;4519132;33527777;19207381;2024-01-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;132662050;6610986;79349457;3266486;2024-01-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;147741063;4474048;33678621;19904178;2024-02-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;133979816;9231092;81102528;3740355;2024-02-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;148214634;3802220;34043406;19995587;2024-03-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;136162625;9457781;81845366;4179576;2024-03-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;149452981;4697765;34467158;21459489;2024-04-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;137620121;9114400;83064117;4977510;2024-04-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;147565502;4701503;34567710;23257763;2024-05-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;139753457;10513955;83754124;4756560;2024-05-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;145916900;4062212;35292470;24831999;2024-06-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;143351332;9459535;86704795;5816475;2024-06-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;144786901;5466908;35094675;27253085;2024-07-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;146004620;10539826;89100612;6838372;2024-07-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;147058462;4589753;35857698;27698537;2024-08-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;146179475;9361252;91464012;7875334;2024-08-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;146867679;5152752;36074282;27253424;2024-09-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;146517976;7745147;92710690;7096014;2024-09-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;148361789;5520414;35651388;28683892;2024-10-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;147841631;8512484;93206765;8535226;2024-10-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;147688439;5986219;35433396;27725816;2024-11-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;148814496;8133091;92835170;8360587;2024-11-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;150304156;6718092;35959270;28909244;2024-12-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;149881562;8469258;93104266;8109013;2024-12-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;127899398;4888833;36014490;31200258;2025-01-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;151464301;7807467;92321931;8415748;2025-01-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;144328972;5453361;36067961;31401716;2025-02-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;152098903;7200593;94778328;10411742;2025-02-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;145742588;6084037;35392019;34447979;2025-03-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;150534824;6918613;94897003;10357194;2025-03-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;146426665;5197343;35761422;37109576;2025-04-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;151562690;6752613;95038344;10629898;2025-04-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;145398636;6298837;35742019;36917607;2025-05-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;152989517;7460561;95526894;10988535;2025-05-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;145343121;5256601;36058496;39222825;2025-06-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;153298564;8267191;96277437;11572722;2025-06-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;144342519;4706989;36615938;44001069;2025-07-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;152963570;7686563;97454119;12757376;2025-07-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;142930851;7679734;36253879;43828390;2025-08-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;153473172;6678534;98100927;12869046;2025-08-01
SANTO ANTONIO DO MONTE;BCO DO BRASIL S.A.;1;144306677;5705023;36405763;42489507;2025-09-01
SANTO ANTONIO DO MONTE;CAIXA ECONOMICA FEDERAL;1;154311042;7440776;97300803;11826971;2025-09-01
