Cidade;Ano;Categoria;Quantidade_Beneficios;Valor_Anual_Injetado
Carmo da Mata;2024;Aposentadoria por Idade;1051.0;19020401.28
Carmo da Mata;2024;Aposentadoria por Tempo de Contribuição;400.0;11006168.419999998
Carmo da Mata;2024;Pensões por Morte;556.0;10622507.059999999
Carmo da Mata;2024;Aposentadoria por Invalidez;143.0;2800278.95
Carmo da Mata;2024;Benefícios Assistenciais (BPC);171.0;2669286.26
Carmo da Mata;2024;Auxílios (Doença/Acidente);67.0;1021207.21
Carmo da Mata;2022;Aposentadoria por Idade;1005.0;16026467.2
Carmo da Mata;2022;Aposentadoria por Tempo de Contribuição;388.0;9515556.64
Carmo da Mata;2022;Pensões por Morte;555.0;9053641.92
Carmo da Mata;2022;Aposentadoria por Invalidez;153.0;2735407.68
Carmo da Mata;2022;Benefícios Assistenciais (BPC);156.0;2204839.05
Carmo da Mata;2022;Auxílios (Doença/Acidente);34.0;470292.52
Carmo da Mata;2021;Aposentadoria por Idade;1003.0;14608301.5
Carmo da Mata;2021;Aposentadoria por Tempo de Contribuição;379.0;8586678.19
Carmo da Mata;2021;Pensões por Morte;546.0;8190327.28
Carmo da Mata;2021;Aposentadoria por Invalidez;156.0;2562464.18
Carmo da Mata;2021;Benefícios Assistenciais (BPC);151.0;2006596.44
Carmo da Mata;2021;Auxílios (Doença/Acidente);43.0;423181.68
