Cidade;Ano;Categoria;Quantidade_Beneficios;Valor_Anual_Injetado
Nova Serrana;2024;Aposentadoria por Idade;3191.0;54253029.379999995
Nova Serrana;2024;Pensões por Morte;2489.0;41093484.78
Nova Serrana;2024;Benefícios Assistenciais (BPC);1836.0;26267718.63
Nova Serrana;2024;Aposentadoria por Tempo de Contribuição;850.0;22004203.53
Nova Serrana;2024;Aposentadoria por Invalidez;928.0;16634839.83
Nova Serrana;2024;Auxílios (Doença/Acidente);647.0;9512627.41
Nova Serrana;2022;Aposentadoria por Idade;2656.0;39425455.69
Nova Serrana;2022;Pensões por Morte;2353.0;34714086.82
Nova Serrana;2022;Benefícios Assistenciais (BPC);1534.0;20215618.11
Nova Serrana;2022;Aposentadoria por Tempo de Contribuição;783.0;18348886.82
Nova Serrana;2022;Aposentadoria por Invalidez;924.0;15009488.52
Nova Serrana;2022;Auxílios (Doença/Acidente);332.0;3896905.59
Nova Serrana;2021;Aposentadoria por Idade;2399.0;32960650.99
Nova Serrana;2021;Pensões por Morte;2231.0;30156632.73
Nova Serrana;2021;Benefícios Assistenciais (BPC);1376.0;17748730.36
Nova Serrana;2021;Aposentadoria por Tempo de Contribuição;744.0;16252631.41
Nova Serrana;2021;Aposentadoria por Invalidez;907.0;13573757.05
Nova Serrana;2021;Auxílios (Doença/Acidente);304.0;4021321.3099999996
