Cidade;Ano;Categoria;Quantidade_Beneficios;Valor_Anual_Injetado
Oliveira;2024;Aposentadoria por Idade;3750.0;66739622.04
Oliveira;2024;Pensões por Morte;2413.0;46075583.129999995
Oliveira;2024;Aposentadoria por Tempo de Contribuição;1626.0;44953469.70999999
Oliveira;2024;Aposentadoria por Invalidez;888.0;16752565.55
Oliveira;2024;Benefícios Assistenciais (BPC);1025.0;15713579.680000002
Oliveira;2024;Auxílios (Doença/Acidente);351.0;6781745.6
Oliveira;2022;Aposentadoria por Idade;3458.0;53399849.29
Oliveira;2022;Pensões por Morte;2344.0;39389203.04
Oliveira;2022;Aposentadoria por Tempo de Contribuição;1606.0;39177926.24
Oliveira;2022;Aposentadoria por Invalidez;914.0;15374319.75
Oliveira;2022;Benefícios Assistenciais (BPC);950.0;12957787.28
Oliveira;2022;Auxílios (Doença/Acidente);267.0;3799111.6
Oliveira;2021;Aposentadoria por Idade;3300.0;46767270.7
Oliveira;2021;Pensões por Morte;2323.0;35370136.79
Oliveira;2021;Aposentadoria por Tempo de Contribuição;1555.0;35214045.45
Oliveira;2021;Aposentadoria por Invalidez;929.0;14554559.96
Oliveira;2021;Benefícios Assistenciais (BPC);892.0;11786099.01
Oliveira;2021;Auxílios (Doença/Acidente);265.0;3469396.02
