ano;mes;sigla_uf;id_municipio;cnae_2_secao;cnae_2_subclasse;saldo_movimentacao;cbo_2002;categoria;grau_instrucao;idade;horas_contratuais;raca_cor;sexo;tipo_empregador;tipo_estabelecimento;tipo_movimentacao;tipo_deficiencia;indicador_trabalho_intermitente;indicador_trabalho_parcial;salario_mensal;tamanho_estabelecimento_janeiro;indicador_aprendiz;origem_informacao;indicador_fora_prazo
2025;6;MG;3116605;G;4649499;-1;821405;101;6;29;44.0;3;3;0;1;31;0;0;0;2272.0;1;0;1;0
2025;6;MG;3116605;C;3102100;-1;784205;101;7;28;44.0;2;1;0;1;40;0;0;0;2250.0;5;0;1;0
2025;6;MG;3116605;G;4711302;-1;521140;101;7;24;44.0;3;3;0;1;31;0;0;0;1628.63;5;0;1;0
2025;6;MG;3116605;C;2451200;-1;723325;101;7;21;44.0;3;1;0;1;40;0;0;0;1919.06;6;0;1;0
2025;6;MG;3116605;C;3102100;-1;724510;101;7;36;44.0;3;1;0;1;31;0;0;0;2500.0;5;0;1;0
2025;6;MG;3116605;C;3102100;-1;774105;101;7;29;44.0;3;1;0;1;31;0;0;0;3195.0;3;0;1;0
2025;6;MG;3116605;C;2532201;-1;784205;101;4;37;44.0;3;1;0;1;40;0;0;0;1998.0;6;0;1;0
2025;6;MG;3116605;C;2543800;-1;784205;101;7;40;44.0;3;3;0;1;40;0;0;0;1773.0;7;0;1;0
2025;6;MG;3116605;A;0151201;-1;621005;101;3;44;44.0;2;1;2;3;31;0;0;0;3521.76;2;0;1;0
2025;6;MG;3116605;A;0210108;-1;642015;101;7;23;44.0;2;1;0;1;31;0;0;0;1885.86;3;0;1;0
2025;6;MG;3116605;C;3102100;-1;723220;101;7;24;44.0;2;1;0;1;31;0;0;0;2142.43;9;0;1;0
2025;6;MG;3116605;C;2599399;-1;413115;101;9;34;44.0;2;1;0;1;31;0;0;0;2130.0;5;0;1;0
2025;6;MG;3116605;C;2451200;-1;723315;101;6;38;44.0;3;1;0;1;40;0;0;0;1919.06;5;0;1;0
2025;6;MG;3116605;G;4649499;-1;724315;101;6;39;44.0;3;1;0;1;31;0;0;0;3200.0;4;0;1;0
2025;6;MG;3116605;S;9602502;-1;411005;101;7;25;44.0;1;3;0;1;31;0;0;0;1944.0;2;0;1;0
2025;6;MG;3116605;C;3102100;-1;761306;101;7;23;44.0;3;1;0;1;31;0;0;0;1927.16;3;0;1;0
2025;6;MG;3116605;C;3102100;-1;784205;101;7;26;44.0;3;3;0;1;40;0;0;0;2142.43;9;0;1;0
2025;6;MG;3116605;C;2451200;-1;722330;101;7;24;44.0;2;3;0;1;31;0;0;0;1919.4;6;0;1;0
