ano;sigla_uf;id_municipio;tipo_vinculo;vinculo_ativo_3112;tipo_admissao;mes_admissao;mes_desligamento;motivo_desligamento;causa_desligamento_1;causa_desligamento_2;causa_desligamento_3;faixa_tempo_emprego;faixa_horas_contratadas;tempo_emprego;quantidade_horas_contratadas;id_municipio_trabalho;quantidade_dias_afastamento;indicador_cei_vinculado;indicador_trabalho_parcial;indicador_trabalho_intermitente;faixa_remuneracao_media_sm;valor_remuneracao_media_sm;valor_remuneracao_media;faixa_remuneracao_dezembro_sm;valor_remuneracao_dezembro_sm;valor_remuneracao_janeiro;valor_remuneracao_fevereiro;valor_remuneracao_marco;valor_remuneracao_abril;valor_remuneracao_maio;valor_remuneracao_junho;valor_remuneracao_julho;valor_remuneracao_agosto;valor_remuneracao_setembro;valor_remuneracao_outubro;valor_remuneracao_novembro;valor_remuneracao_dezembro;tipo_salario;valor_salario_contratual;subatividade_ibge;subsetor_ibge;cbo_1994;cbo_2002;cnae_1;cnae_2;cnae_2_subclasse;faixa_etaria;idade;grau_instrucao_1985_2005;grau_instrucao_apos_2005;nacionalidade;sexo;raca_cor;indicador_portador_deficiencia;tipo_deficiencia;ano_chegada_brasil;tamanho_estabelecimento;tipo_estabelecimento;natureza_juridica;indicador_simples
2021;MG;3164803;60;1;2;11;;0;99;99;99;1;3;1.4;16;3164803;0;0;0;0;0;0.39;429.62;1;0.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;277.13;429.62;;;;21;;514320;91910;94910;9491000;5;30;;7;10;2;8;0;0;;2;1;3220;0
2021;MG;3164803;35;1;0;;;0;99;99;99;6;5;50.0;40;3164803;0;0;0;0;9;12.71;13989.87;10;12.71;13989.87;13989.87;13989.87;13989.87;13989.87;13989.87;13989.87;13989.87;13989.87;13989.87;13989.87;13989.87;;;;24;;225130;75116;84116;8411600;4;29;;9;10;1;9;0;0;;7;1;1244;0
2021;MG;3164803;35;1;0;;;0;99;99;99;6;5;54.9;40;3164803;0;0;0;0;11;20.75;22839.87;11;17.06;28158.75;21901.25;225.27;23152.75;23152.75;23152.75;23778.5;21275.5;225.27;23152.75;225.27;18772.5;;;;24;;225125;75116;84116;8411600;4;29;;9;10;1;9;0;0;;7;1;1244;0
2021;MG;3164803;25;1;0;;;0;99;99;99;8;6;196.9;44;3147501;0;0;0;0;2;1.02;1130.55;2;1.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;1466.67;1100.0;;;;25;;621005;01414;01512;0151201;6;47;;3;10;1;2;0;0;;2;2;4081;0
2021;MG;3164803;25;1;0;;;0;99;99;99;5;6;25.9;44;3164803;0;0;0;0;2;1.02;1130.55;2;1.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;1466.67;11.0;1100.0;;;;25;;621005;01414;01512;0151202;6;49;;3;10;1;8;0;0;;2;2;4081;0
2021;MG;3164803;25;1;0;;;0;99;99;99;7;6;113.9;44;3147501;0;0;0;0;2;1.05;1161.11;2;1.0;1466.67;11.0;11.0;11.0;11.0;11.0;11.0;1466.67;11.0;11.0;11.0;1100.0;;;;25;;621005;01414;01512;0151202;6;42;;3;10;1;8;0;0;;2;2;4081;0
2021;MG;3164803;15;1;2;10;;0;99;99;99;1;6;2.5;44;;0;0;0;0;1;0.84;928.89;2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;586.67;11.0;1100.0;;;;25;;623105;01414;01512;0151202;3;23;;7;10;1;9;0;0;;2;3;4081;0
2021;MG;3164803;25;1;0;;;0;99;99;99;7;6;94.9;44;;0;0;0;0;2;1.02;1130.55;2;1.0;11.0;11.0;1466.67;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;1100.0;;;;25;;623105;01414;01512;0151202;7;52;;7;10;1;2;0;0;;2;3;4081;0
2021;MG;3164803;25;1;0;;;0;99;99;99;7;6;86.9;44;3164803;0;0;0;0;2;1.02;1130.55;2;1.0;11.0;11.0;11.0;11.0;11.0;1466.67;11.0;11.0;11.0;11.0;11.0;1100.0;;;;25;;514320;01414;01512;0151202;6;40;;1;10;2;4;0;0;;2;2;4081;0
2021;MG;3164803;10;1;0;;;0;99;99;99;5;6;30.7;44;;0;0;0;0;1;1.0;1100.0;2;1.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;1100.0;;;;16;;914415;50423;45439;4543900;3;21;;7;10;1;8;0;0;;2;1;2135;1
2021;MG;3164803;10;1;0;;;0;99;99;99;5;6;30.7;44;;0;0;0;0;1;1.0;1100.0;2;1.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;1100.0;;;;16;;914415;50423;45439;4543900;3;23;;7;10;1;8;0;0;;2;1;2135;1
2021;MG;3164803;10;1;1;6;;0;99;99;99;3;6;6.3;44;;0;0;0;0;1;0.9;995.23;2;1.0;0.0;0.0;0.0;0.0;0.0;366.67;11.0;11.0;11.0;11.0;11.0;1100.0;;;;16;;914415;50423;45439;4543900;3;20;;7;10;1;8;0;0;;2;1;2135;1
