ano_particao;MES_ESTIMADO;NOME_MES;vr_icms;vr_ipva;vr_ipi;DATA_BASE
2021;1;Janeiro;485403.51;497639;6328.74;2021-01-01
2021;2;Fevereiro;446777.89;172530;5176.66;2021-02-01
2021;3;Março;514237.71;163670;6146.64;2021-03-01
2021;4;Abril;408749.81;60812;6164.61;2021-04-01
2021;5;Maio;459341.38;36566;5958.66;2021-05-01
2021;6;Junho;577792.28;43230;5460.5;2021-06-01
2021;7;Julho;481051.97;25405;6292.8;2021-07-01
2021;8;Agosto;683846.71;23006;5291.68;2021-08-01
2021;9;Setembro;497340.4;18852;6295.92;2021-09-01
2021;10;Outubro;546965.01;15033;6355.62;2021-10-01
2021;11;Novembro;650718.54;14779;6088.86;2021-11-01
2021;12;Dezembro;470681.66;28299;6224.32;2021-12-01
2022;1;Janeiro;546182.14;100401;7399.02;2022-01-01
2022;2;Fevereiro;479251.85;90305;6615.21;2022-02-01
2022;3;Março;580645.28;476038;7479.52;2022-03-01
2022;4;Abril;491581.29;141351;7604.37;2022-04-01
2022;5;Maio;658807.92;175340;4014.16;2022-05-01
2022;6;Junho;477264.24;93071;5639.07;2022-06-01
2022;7;Julho;541644.68;55844;5791.44;2022-07-01
2022;8;Agosto;577118.15;49984;4612.9;2022-08-01
2022;9;Setembro;452082.22;35015;6085.41;2022-09-01
2022;10;Outubro;494300.99;30282;6210.24;2022-10-01
2022;11;Novembro;509944.49;43680;4515.47;2022-11-01
2022;12;Dezembro;500555.9;39253;6415.38;2022-12-01
2023;1;Janeiro;555525.51;177776;5193.9;2023-01-01
2023;2;Fevereiro;404676.2;165097;3872.99;2023-02-01
2023;3;Março;468068.17;636411;4797.05;2023-03-01
2023;4;Abril;539191.04;268086;5133.97;2023-04-01
2023;5;Maio;0.0;240435;0.0;2023-05-01
2023;6;Junho;509567.46;102993;5704.98;2023-06-01
2023;7;Julho;500715.79;83529;5185.6;2023-07-01
2023;8;Agosto;640784.84;83895;4614.51;2023-08-01
2023;9;Setembro;542958.51;75169;6004.16;2023-09-01
2023;10;Outubro;630113.97;60358;6707.14;2023-10-01
2023;11;Novembro;516940.97;34680;5495.07;2023-11-01
2023;12;Dezembro;612318.89;40647;5981.95;2023-12-01
2024;1;Janeiro;625697.57;978472;5819.13;2024-01-01
2024;2;Fevereiro;473823.6;399385;6052.22;2024-02-01
2024;3;Março;533768.46;346704;7110.25;2024-03-01
2024;4;Abril;627944.21;207714;6146.99;2024-04-01
2024;5;Maio;527721.81;161379;6469.93;2024-05-01
2024;6;Junho;541203.38;135403;8129.92;2024-06-01
2024;7;Julho;735930.19;110597;7169.57;2024-07-01
2024;8;Agosto;573862.42;91027;9702.82;2024-08-01
2024;9;Setembro;566441.67;77956;10591.6;2024-09-01
2024;10;Outubro;746761.26;74766;7463.42;2024-10-01
2024;11;Novembro;644044.5;78737;8288.39;2024-11-01
2024;12;Dezembro;739848.36;64659;9802.49;2024-12-01
2025;1;Janeiro;829015.27;485968;10094.85;2025-01-01
2025;2;Fevereiro;774908.42;782319;11422.98;2025-02-01
2025;3;Março;852014.03;462560;12632.75;2025-03-01
2025;4;Abril;1030088.79;422838;11620.9;2025-04-01
2025;5;Maio;841012.0;169033;11289.95;2025-05-01
2025;6;Junho;847601.79;109437;12852.7;2025-06-01
2025;7;Julho;1068152.51;129403;11066.81;2025-07-01
2025;8;Agosto;895328.55;113188;12223.67;2025-08-01
2025;9;Setembro;1011240.82;118515;12962.94;2025-09-01
2025;10;Outubro;909812.18;86024;12475.68;2025-10-01
2025;11;Novembro;889820.36;92989;12330.48;2025-11-01
2025;12;Dezembro;1140857.74;49635;14935.96;2025-12-01
