ano_particao;MES_ESTIMADO;NOME_MES;vr_icms;vr_ipva;vr_ipi;DATA_BASE
2021;1;Janeiro;4360610.45;4542915;55977.79;2021-01-01
2021;2;Fevereiro;3951837.83;1935168;45788.64;2021-02-01
2021;3;Março;4549904.68;1847545;54369.69;2021-03-01
2021;4;Abril;3615618.81;817010;54529.51;2021-04-01
2021;5;Maio;4063076.9;624769;52706.79;2021-05-01
2021;6;Junho;5116675.67;598097;48369.14;2021-06-01
2021;7;Julho;4272821.11;555058;55912.7;2021-07-01
2021;8;Agosto;6076121.9;483271;47017.65;2021-08-01
2021;9;Setembro;4421186.84;439017;55970.63;2021-09-01
2021;10;Outubro;4892119.58;354616;56947.29;2021-10-01
2021;11;Novembro;5830426.97;352562;54555.89;2021-11-01
2021;12;Dezembro;4217492.37;697749;55772.37;2021-12-01
2022;1;Janeiro;4602568.14;1120166;61299.04;2022-01-01
2022;2;Fevereiro;3972277.05;793564;54838.66;2022-02-01
2022;3;Março;4791984.33;4002812;61649.63;2022-03-01
2022;4;Abril;4052601.8;1787246;62691.65;2022-04-01
2022;5;Maio;5454277.82;1909290;33264.3;2022-05-01
2022;6;Junho;3947756.76;1236453;46640.6;2022-06-01
2022;7;Julho;4486541.61;777616;47988.93;2022-07-01
2022;8;Agosto;4782159.55;746938;38223.93;2022-08-01
2022;9;Setembro;3746096.72;540652;50425.52;2022-09-01
2022;10;Outubro;4096021.09;523052;51461.26;2022-10-01
2022;11;Novembro;4225768.46;779155;37418.67;2022-11-01
2022;12;Dezembro;4148028.33;1043954;53163.33;2022-12-01
2023;1;Janeiro;4203907.23;2070856;38711.05;2023-01-01
2023;2;Fevereiro;2880319.09;1445019;27566.36;2023-02-01
2023;3;Março;3332437.04;5896549;34154.74;2023-03-01
2023;4;Abril;3846871.5;2884247;36644.52;2023-04-01
2023;5;Maio;0.0;2995934;0.0;2023-05-01
2023;6;Junho;3624031.42;1558012;40570.55;2023-06-01
2023;7;Julho;3559310.84;1111016;36859.17;2023-07-01
2023;8;Agosto;4555001.76;1197202;32802.66;2023-08-01
2023;9;Setembro;3865385.17;976646;42749.85;2023-09-01
2023;10;Outubro;4486496.02;827049;47755.89;2023-10-01
2023;11;Novembro;3680821.97;608733;39127.1;2023-11-01
2023;12;Dezembro;4359830.74;858306;42592.51;2023-12-01
2024;1;Janeiro;4380634.22;8043537;40663.24;2024-01-01
2024;2;Fevereiro;3322923.65;3884068;42452.11;2024-02-01
2024;3;Março;3744019.74;3413663;49873.49;2024-03-01
2024;4;Abril;4403953.69;1819428;43109.94;2024-04-01
2024;5;Maio;3700996.86;1424031;45374.68;2024-05-01
2024;6;Junho;3795545.23;1181007;57016.39;2024-06-01
2024;7;Julho;5263605.86;1094988;51538.16;2024-07-01
2024;8;Agosto;4125190.14;965538;69748.35;2024-08-01
2024;9;Setembro;4071846.52;1085248;76137.37;2024-09-01
2024;10;Outubro;5212640.08;805455;51695.3;2024-10-01
2024;11;Novembro;4460960.66;581093;57409.3;2024-11-01
2024;12;Dezembro;5091025.63;780011;67404.35;2024-12-01
2025;1;Janeiro;4731398.44;3761845;57475.19;2025-01-01
2025;2;Fevereiro;4410752.46;7370781;65016.91;2025-02-01
2025;3;Março;4893866.07;4177775;72769.26;2025-03-01
2025;4;Abril;5896628.27;3940652;66610.69;2025-04-01
2025;5;Maio;4820657.09;1662302;64713.6;2025-05-01
2025;6;Junho;4858429.56;1518865;73671.28;2025-06-01
2025;7;Julho;6107563.35;1419676;63241.69;2025-07-01
2025;8;Agosto;5116091.54;1001856;69848.26;2025-08-01
2025;9;Setembro;5778414.37;1117997;74072.62;2025-09-01
2025;10;Outubro;5163157.43;771930;70775.17;2025-10-01
2025;11;Novembro;5047998.77;714129;69951.47;2025-11-01
2025;12;Dezembro;6472147.29;865375;84732.43;2025-12-01
