ano_particao;MES_ESTIMADO;NOME_MES;vr_icms;vr_ipva;vr_ipi;DATA_BASE
2021;1;Janeiro;1551793.6;2409425;20013.78;2021-01-01
2021;2;Fevereiro;1412909.63;848035;16370.98;2021-02-01
2021;3;Março;1625174.61;826348;19414.91;2021-03-01
2021;4;Abril;1291094.96;258372;19471.86;2021-04-01
2021;5;Maio;1450886.67;161221;18821.14;2021-05-01
2021;6;Junho;1829249.88;178058;17297.1;2021-06-01
2021;7;Julho;1527184.67;139253;19982.95;2021-07-01
2021;8;Agosto;2171576.15;118447;16803.88;2021-08-01
2021;9;Setembro;1579338.02;101091;19993.16;2021-09-01
2021;10;Outubro;1809477.45;73412;21275.24;2021-10-01
2021;11;Novembro;2178234.2;73541;20381.99;2021-11-01
2021;12;Dezembro;1575615.42;137486;20836.02;2021-12-01
2022;1;Janeiro;1841916.77;450518;25000.94;2022-01-01
2022;2;Fevereiro;1619408.24;364407;22353.21;2022-02-01
2022;3;Março;1955304.33;2169574;25162.61;2022-03-01
2022;4;Abril;1654291.66;716139;25591.36;2022-04-01
2022;5;Maio;2226104.59;796495;13575.95;2022-05-01
2022;6;Junho;1611525.63;417052;19039.5;2022-06-01
2022;7;Julho;1835983.69;251252;19649.84;2022-07-01
2022;8;Agosto;1958126.06;234387;15651.34;2022-08-01
2022;9;Setembro;1533892.29;157999;20647.45;2022-09-01
2022;10;Outubro;1683922.57;126510;21173.4;2022-10-01
2022;11;Novembro;1738654.03;219042;15395.55;2022-11-01
2022;12;Dezembro;1706661.17;203088;21873.45;2022-12-01
2023;1;Janeiro;1883850.17;778093;17597.91;2023-01-01
2023;2;Fevereiro;1302217.66;606273;12462.99;2023-02-01
2023;3;Março;1506635.95;3119883;15441.8;2023-03-01
2023;4;Abril;1741977.82;1193875;16599.39;2023-04-01
2023;5;Maio;0.0;1150136;0.0;2023-05-01
2023;6;Junho;1644118.06;437978;18405.77;2023-06-01
2023;7;Julho;1618056.7;296310;16761.21;2023-07-01
2023;8;Agosto;2071298.07;308098;14916.32;2023-08-01
2023;9;Setembro;1757506.14;265477;19437.23;2023-09-01
2023;10;Outubro;2047970.62;250097;21812.04;2023-10-01
2023;11;Novembro;1681169.55;191041;17870.82;2023-11-01
2023;12;Dezembro;1991298.39;170932;19453.61;2023-12-01
2024;1;Janeiro;2069025.07;4079343;19278.11;2024-01-01
2024;2;Fevereiro;1569673.62;1376724;20049.63;2024-02-01
2024;3;Março;1768254.85;1254772;23554.64;2024-03-01
2024;4;Abril;2079535.1;570171;20355.9;2024-04-01
2024;5;Maio;1747558.64;411353;21425.28;2024-05-01
2024;6;Junho;1792203.04;313332;26922.33;2024-06-01
2024;7;Julho;2450259.4;345273;23904.32;2024-07-01
2024;8;Agosto;1913336.1;271530;32350.53;2024-08-01
2024;9;Setembro;1888594.39;274026;35313.84;2024-09-01
2024;10;Outubro;2423905.79;273200;24055.07;2024-10-01
2024;11;Novembro;2075793.52;214476;26713.95;2024-11-01
2024;12;Dezembro;2381628.65;151491;31550.7;2024-12-01
2025;1;Janeiro;2014309.71;1592781;24434.5;2025-01-01
2025;2;Fevereiro;1875250.81;3399906;27642.42;2025-02-01
2025;3;Março;2063382.31;1450924;30603.31;2025-03-01
2025;4;Abril;2500452.09;1390054;28229.06;2025-04-01
2025;5;Maio;2042954.33;401577;27425.1;2025-05-01
2025;6;Junho;2058961.99;343774;31221.28;2025-06-01
2025;7;Julho;2592598.94;402171;26855.94;2025-07-01
2025;8;Agosto;2172604.32;264425;29661.87;2025-08-01
2025;9;Setembro;2453869.39;270452;31455.79;2025-09-01
2025;10;Outubro;2185222.55;234770;29949.46;2025-10-01
2025;11;Novembro;2136128.66;185877;29600.9;2025-11-01
2025;12;Dezembro;2738776.28;191153;35855.68;2025-12-01
