ano_particao;MES_ESTIMADO;NOME_MES;vr_icms;vr_ipva;vr_ipi;DATA_BASE
2021;1;Janeiro;5271086.17;7679237;68245.14;2021-01-01
2021;2;Fevereiro;4817895.09;2675693;55823.48;2021-02-01
2021;3;Março;5547736.64;2495219;66284.66;2021-03-01
2021;4;Abril;4408067.57;917713;66481.06;2021-04-01
2021;5;Maio;4953600.65;572638;64258.77;2021-05-01
2021;6;Junho;6241364.14;552107;59008.36;2021-06-01
2021;7;Julho;5214270.45;469958;68234.72;2021-07-01
2021;8;Agosto;7415176.48;395682;57379.41;2021-08-01
2021;9;Setembro;5392961.11;329713;68270.64;2021-09-01
2021;10;Outubro;6035339.1;273526;70487.93;2021-10-01
2021;11;Novembro;7216744.11;239138;67527.77;2021-11-01
2021;12;Dezembro;5220319.21;341750;69033.84;2021-12-01
2022;1;Janeiro;5993929.22;1172020;80968.45;2022-01-01
2022;2;Fevereiro;5244740.24;1192338;72395.28;2022-02-01
2022;3;Março;6325650.2;7359702;81378.71;2022-03-01
2022;4;Abril;5350188.63;2521907;82765.75;2022-04-01
2022;5;Maio;7206441.76;2599444;43957.97;2022-05-01
2022;6;Junho;5213525.55;1394411;61593.2;2022-06-01
2022;7;Julho;5931784.51;713629;63465.61;2022-07-01
2022;8;Agosto;6324447.72;607304;50551.52;2022-08-01
2022;9;Setembro;4954252.14;498357;66688.25;2022-09-01
2022;10;Outubro;5430590.26;423956;68262.76;2022-10-01
2022;11;Novembro;5605464.42;606901;49635.76;2022-11-01
2022;12;Dezembro;5504308.84;630821;70550.86;2022-12-01
2023;1;Janeiro;5962014.42;2187573;55523.48;2023-01-01
2023;2;Fevereiro;4089432.49;1865049;39138.31;2023-02-01
2023;3;Março;4731777.46;10026030;48497.68;2023-03-01
2023;4;Abril;5461306.86;3875798;52021.2;2023-04-01
2023;5;Maio;0.0;3735744;0.0;2023-05-01
2023;6;Junho;5157495.15;1297370;57735.76;2023-06-01
2023;7;Julho;5068327.25;1090057;52490.91;2023-07-01
2023;8;Agosto;6486935.84;872569;46715.74;2023-08-01
2023;9;Setembro;5508083.95;874281;60920.68;2023-09-01
2023;10;Outubro;6401599.88;683396;68153.71;2023-10-01
2023;11;Novembro;5253078.99;496914;55840.22;2023-11-01
2023;12;Dezembro;6222036.06;421773;60784.86;2023-12-01
2024;1;Janeiro;6458896.25;12626110;60174.53;2024-01-01
2024;2;Fevereiro;4899503.26;4677056;62581.85;2024-02-01
2024;3;Março;5519341.5;4065719;73522.26;2024-03-01
2024;4;Abril;6491436.61;1607842;63543.2;2024-04-01
2024;5;Maio;5455196.13;1135472;66881.36;2024-05-01
2024;6;Junho;5594558.56;1032677;84041.01;2024-06-01
2024;7;Julho;7630781.77;1108454;74399.37;2024-07-01
2024;8;Agosto;5955034.16;881634;100687.19;2024-08-01
2024;9;Setembro;5878028.47;726357;109910.23;2024-09-01
2024;10;Outubro;7530783.98;595890;74700.82;2024-10-01
2024;11;Novembro;6446183.67;482050;82957.69;2024-11-01
2024;12;Dezembro;7360044.51;388381;97450.74;2024-12-01
2025;1;Janeiro;6341553.59;4824000;76948.71;2025-01-01
2025;2;Fevereiro;5905245.76;11059451;87046.67;2025-02-01
2025;3;Março;6435836.86;5000715;94902.78;2025-03-01
2025;4;Abril;7878654.08;4491807;88958.9;2025-04-01
2025;5;Maio;6438011.33;1505932;86425.34;2025-05-01
2025;6;Junho;6488456.65;1139821;98388.36;2025-06-01
2025;7;Julho;8160578.4;1184126;84509.53;2025-07-01
2025;8;Agosto;6836613.98;874821;93337.98;2025-08-01
2025;9;Setembro;7721674.71;878080;98982.98;2025-09-01
2025;10;Outubro;6929891.19;674848;95013.59;2025-10-01
2025;11;Novembro;6776790.08;523956;93907.79;2025-11-01
2025;12;Dezembro;8688667.63;505041;113750.79;2025-12-01
