ano_particao;MES_ESTIMADO;NOME_MES;vr_icms;vr_ipva;vr_ipi;DATA_BASE
2021;1;Janeiro;989814.13;2169301;12802.92;2021-01-01
2021;2;Fevereiro;903818.71;796966;10472.18;2021-02-01
2021;3;Março;1040814.88;688736;12434.41;2021-03-01
2021;4;Abril;826883.55;290569;12470.75;2021-04-01
2021;5;Maio;929230.12;200524;12054.16;2021-05-01
2021;6;Junho;1171242.86;187945;11074.38;2021-06-01
2021;7;Julho;976253.52;133376;12771.71;2021-07-01
2021;8;Agosto;1387917.32;117713;10739.84;2021-08-01
2021;9;Setembro;1009384.84;94160;12778.0;2021-09-01
2021;10;Outubro;1145246.61;75931;13428.39;2021-10-01
2021;11;Novembro;1374862.05;53250;12864.77;2021-11-01
2021;12;Dezembro;994469.74;71595;13150.91;2021-12-01
2022;1;Janeiro;1184586.1;390219;16157.66;2022-01-01
2022;2;Fevereiro;1046562.55;329305;14445.9;2022-02-01
2022;3;Março;1262257.0;2007711;16238.87;2022-03-01
2022;4;Abril;1067365.97;634057;16511.41;2022-04-01
2022;5;Maio;1434539.74;664421;8746.24;2022-05-01
2022;6;Junho;1038909.11;477770;12274.63;2022-06-01
2022;7;Julho;1183265.69;273489;12663.04;2022-07-01
2022;8;Agosto;1261872.88;200080;10086.15;2022-08-01
2022;9;Setembro;988479.58;133620;13305.74;2022-09-01
2022;10;Outubro;1080784.95;133036;13578.63;2022-10-01
2022;11;Novembro;1114981.75;155631;9872.96;2022-11-01
2022;12;Dezembro;1094450.02;142438;14027.04;2022-12-01
2023;1;Janeiro;1266709.66;904435;11920.46;2023-01-01
2023;2;Fevereiro;908965.61;658487;8699.33;2023-02-01
2023;3;Março;1051512.13;2569073;10776.88;2023-03-01
2023;4;Abril;1212311.74;1012170;11545.16;2023-04-01
2023;5;Maio;0.0;1126943;0.0;2023-05-01
2023;6;Junho;1143060.79;428412;12796.76;2023-06-01
2023;7;Julho;1122787.11;273672;11627.44;2023-07-01
2023;8;Agosto;1436782.31;212354;10346.71;2023-08-01
2023;9;Setembro;1218559.91;225856;13476.2;2023-09-01
2023;10;Outubro;1414274.84;189961;15054.02;2023-10-01
2023;11;Novembro;1160252.31;128185;12333.45;2023-11-01
2023;12;Dezembro;1374308.23;109571;13426.07;2023-12-01
2024;1;Janeiro;1411810.13;3835590;13137.95;2024-01-01
2024;2;Fevereiro;1069713.25;1348068;13663.55;2024-02-01
2024;3;Março;1205043.15;1160870;16052.18;2024-03-01
2024;4;Abril;1417197.13;595503;13872.51;2024-04-01
2024;5;Maio;1190958.3;327305;14601.3;2024-05-01
2024;6;Junho;1221383.36;240184;18347.52;2024-06-01
2024;7;Julho;1669517.79;256574;16286.72;2024-07-01
2024;8;Agosto;1303611.3;189783;22041.36;2024-08-01
2024;9;Setembro;1286754.05;184627;24060.35;2024-09-01
2024;10;Outubro;1650332.35;163010;16375.02;2024-10-01
2024;11;Novembro;1413055.39;139783;18184.99;2024-11-01
2024;12;Dezembro;1630899.22;103144;21619.3;2024-12-01
2025;1;Janeiro;1481721.29;1786152;17993.19;2025-01-01
2025;2;Fevereiro;1380834.83;3165851;20354.27;2025-02-01
2025;3;Março;1534559.41;1432172;22892.34;2025-03-01
2025;4;Abril;1841528.7;1321548;20790.97;2025-04-01
2025;5;Maio;1504656.17;433464;20198.83;2025-05-01
2025;6;Junho;1516445.97;327821;22994.77;2025-06-01
2025;7;Julho;1909903.04;321590;19785.16;2025-07-01
2025;8;Agosto;1600571.31;213010;21852.07;2025-08-01
2025;9;Setembro;1807779.52;204575;23173.65;2025-09-01
2025;10;Outubro;1624040.66;186625;22267.83;2025-10-01
2025;11;Novembro;1588239.16;161244;22008.66;2025-11-01
2025;12;Dezembro;2036315.44;122410;26659.15;2025-12-01
