ano_particao;MES_ESTIMADO;NOME_MES;vr_icms;vr_ipva;vr_ipi;DATA_BASE
2021;1;Janeiro;979440.41;254769;12380.61;2021-01-01
2021;2;Fevereiro;874036.02;107297;10127.21;2021-02-01
2021;3;Março;1006754.87;97226;12025.14;2021-03-01
2021;4;Abril;799683.4;43814;12060.56;2021-04-01
2021;5;Maio;898645.42;30529;11657.34;2021-05-01
2021;6;Junho;1133553.9;31067;10719.97;2021-06-01
2021;7;Julho;944963.5;18149;12362.29;2021-07-01
2021;8;Agosto;1343431.61;20746;10395.62;2021-08-01
2021;9;Setembro;977068.53;19748;12368.92;2021-09-01
2021;10;Outubro;1167970.19;14541;13892.76;2021-10-01
2021;11;Novembro;1422366.64;10517;13309.2;2021-11-01
2021;12;Dezembro;1028904.85;17563;13606.31;2021-12-01
2022;1;Janeiro;1291189.13;66933;17842.08;2022-01-01
2022;2;Fevereiro;1155742.93;54789;15953.29;2022-02-01
2022;3;Março;1393927.79;252437;17932.66;2022-03-01
2022;4;Abril;1178765.8;116619;18234.81;2022-04-01
2022;5;Maio;1583892.71;119453;9656.33;2022-05-01
2022;6;Junho;1145506.77;71330;13533.28;2022-06-01
2022;7;Julho;1303105.19;43824;13941.64;2022-07-01
2022;8;Agosto;1389314.68;28941;11104.85;2022-08-01
2022;9;Setembro;1088321.84;26982;14649.7;2022-09-01
2022;10;Outubro;1190009.03;26447;14951.01;2022-10-01
2022;11;Novembro;1227732.59;33187;10871.47;2022-11-01
2022;12;Dezembro;1205160.2;16457;15445.99;2022-12-01
2023;1;Janeiro;1280603.67;120722;11888.55;2023-01-01
2023;2;Fevereiro;913161.15;69110;8739.51;2023-02-01
2023;3;Março;1056404.17;392282;10827.08;2023-03-01
2023;4;Abril;1218950.44;196810;11610.42;2023-04-01
2023;5;Maio;0.0;207486;0.0;2023-05-01
2023;6;Junho;1146585.8;76945;12835.66;2023-06-01
2023;7;Julho;1126379.14;51854;11664.92;2023-07-01
2023;8;Agosto;1441652.05;54850;10382.21;2023-08-01
2023;9;Setembro;1223819.37;34681;13535.42;2023-09-01
2023;10;Outubro;1420532.21;32553;15120.7;2023-10-01
2023;11;Novembro;1165488.96;17791;12389.17;2023-11-01
2023;12;Dezembro;1380473.6;17748;13486.26;2023-12-01
2024;1;Janeiro;1452837.83;521301;13555.74;2024-01-01
2024;2;Fevereiro;1103779.58;231532;14098.72;2024-02-01
2024;3;Março;1243422.08;220700;16563.43;2024-03-01
2024;4;Abril;1462623.16;122621;14317.55;2024-04-01
2024;5;Maio;1229163.32;68484;15069.69;2024-05-01
2024;6;Junho;1260564.43;57568;18936.09;2024-06-01
2024;7;Julho;1717390.01;49624;16739.4;2024-07-01
2024;8;Agosto;1339845.91;33476;22654.0;2024-08-01
2024;9;Setembro;1322520.09;42682;24729.13;2024-09-01
2024;10;Outubro;1692959.38;39827;16789.36;2024-10-01
2024;11;Novembro;1448809.44;16463;18645.12;2024-11-01
2024;12;Dezembro;1622989.44;22042;21444.01;2024-12-01
2025;1;Janeiro;1386070.78;219244;16816.9;2025-01-01
2025;2;Fevereiro;1290574.8;475978;19023.81;2025-02-01
2025;3;Março;1353595.71;288834;19488.56;2025-03-01
2025;4;Abril;1722251.39;301136;19447.19;2025-04-01
2025;5;Maio;1407405.36;112472;18893.35;2025-05-01
2025;6;Junho;1418433.16;51764;21508.56;2025-06-01
2025;7;Julho;1781657.71;67547;18444.84;2025-07-01
2025;8;Agosto;1492143.34;52725;20371.73;2025-08-01
2025;9;Setembro;1685314.52;51488;21603.78;2025-09-01
2025;10;Outubro;1511162.27;24582;20718.18;2025-10-01
2025;11;Novembro;1477712.18;22370;20477.08;2025-11-01
2025;12;Dezembro;1894606.41;9747;24803.91;2025-12-01
