Nome_Cidade_API;Data_Ref;year;Tipo_Operacao;Codigo_SH4;Pais_Parceiro;Valor_USD;Peso_KG
Carmo do Rio Claro - MG;01/03/2022;2022;export;"Café, mesmo torrado ou descafeinado; cascas e películas de café; sucedâneos do café contendo café em qualquer proporção";Alemanha;2375206;540000
Carmo do Rio Claro - MG;01/10/2022;2022;import;"Adubos (fertilizantes) minerais ou químicos, contendo dois ou três dos seguintes elementos fertilizantes: azoto (nitrogénio), fósforo e potássio; outros adubos (fertilizantes); produtos do presente capítulo apresentados em tabletes ou formas semelhantes, ";Marrocos;2292214;3000983
Carmo do Rio Claro - MG;01/11/2022;2022;import;Adubos (fertilizantes) minerais ou químicos, fosfatados;Marrocos;745328;1600000
Carmo do Rio Claro - MG;01/07/2022;2022;import;Adubos (fertilizantes) minerais ou químicos, azotados;China;684436;2200000
Carmo do Rio Claro - MG;01/07/2022;2022;import;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";Argentina;286720;896000
Carmo do Rio Claro - MG;01/06/2022;2022;import;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";Argentina;215040;672000
Carmo do Rio Claro - MG;01/04/2022;2022;import;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";Argentina;179200;560000
Carmo do Rio Claro - MG;01/05/2022;2022;import;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";Argentina;179200;560000
Carmo do Rio Claro - MG;01/08/2022;2022;import;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";Bolívia;163296;567000
Carmo do Rio Claro - MG;01/07/2022;2022;import;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";Bolívia;163296;567000
Carmo do Rio Claro - MG;01/09/2022;2022;import;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";Bolívia;163296;567000
Carmo do Rio Claro - MG;01/08/2022;2022;import;"Óxidos de boro; ácidos bóricos";Argentina;112320;108000
Carmo do Rio Claro - MG;01/10/2022;2022;import;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";Bolívia;108864;378000
Carmo do Rio Claro - MG;01/08/2022;2022;import;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";Argentina;107520;336000
Carmo do Rio Claro - MG;01/05/2022;2022;import;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";Bolívia;78327;324000
Carmo do Rio Claro - MG;01/04/2022;2022;import;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";Bolívia;58248;326000
Carmo do Rio Claro - MG;01/05/2022;2022;import;"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e";Irlanda;26560;0
Carmo do Rio Claro - MG;01/06/2022;2022;import;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";Bolívia;21060;135000
Carmo do Rio Claro - MG;01/08/2023;2023;import;"Adubos (fertilizantes) minerais ou químicos, contendo dois ou três dos seguintes elementos fertilizantes: azoto (nitrogénio), fósforo e potássio; outros adubos (fertilizantes); produtos do presente capítulo apresentados em tabletes ou formas semelhantes, ";Marrocos;14847432;34002927
Carmo do Rio Claro - MG;01/04/2023;2023;import;"Adubos (fertilizantes) minerais ou químicos, contendo dois ou três dos seguintes elementos fertilizantes: azoto (nitrogénio), fósforo e potássio; outros adubos (fertilizantes); produtos do presente capítulo apresentados em tabletes ou formas semelhantes, ";Marrocos;11296298;18344394
Carmo do Rio Claro - MG;01/06/2023;2023;import;"Adubos (fertilizantes) minerais ou químicos, contendo dois ou três dos seguintes elementos fertilizantes: azoto (nitrogénio), fósforo e potássio; outros adubos (fertilizantes); produtos do presente capítulo apresentados em tabletes ou formas semelhantes, ";Marrocos;9984791;19001231
Carmo do Rio Claro - MG;01/10/2023;2023;import;"Adubos (fertilizantes) minerais ou químicos, contendo dois ou três dos seguintes elementos fertilizantes: azoto (nitrogénio), fósforo e potássio; outros adubos (fertilizantes); produtos do presente capítulo apresentados em tabletes ou formas semelhantes, ";Marrocos;8121785;18505288
Carmo do Rio Claro - MG;01/11/2023;2023;import;"Adubos (fertilizantes) minerais ou químicos, contendo dois ou três dos seguintes elementos fertilizantes: azoto (nitrogénio), fósforo e potássio; outros adubos (fertilizantes); produtos do presente capítulo apresentados em tabletes ou formas semelhantes, ";Marrocos;4771877;9162635
