Nome_Cidade_API;Data_Ref;year;Tipo_Operacao;Codigo_SH4;Pais_Parceiro;Valor_USD;Peso_KG
Cláudio - MG;01/07/2022;2022;export;Partes reconhecíveis como destinadas às máquinas das posições 8501 ou 8502;Estados Unidos;612458;246341
Cláudio - MG;01/11/2022;2022;export;Partes reconhecíveis como destinadas às máquinas das posições 8501 ou 8502;Estados Unidos;518194;203081
Cláudio - MG;01/04/2022;2022;export;Outras obras moldadas, de ferro fundido, ferro ou aço;Estados Unidos;476400;267753
Cláudio - MG;01/10/2022;2022;export;Partes reconhecíveis como destinadas às máquinas das posições 8501 ou 8502;Estados Unidos;418362;164797
Cláudio - MG;01/09/2022;2022;export;Partes reconhecíveis como destinadas às máquinas das posições 8501 ou 8502;Estados Unidos;375891;140312
Cláudio - MG;01/02/2022;2022;export;Partes reconhecíveis como destinadas às máquinas das posições 8501 ou 8502;Estados Unidos;375070;163369
Cláudio - MG;01/07/2022;2022;export;Outras obras moldadas, de ferro fundido, ferro ou aço;Estados Unidos;363555;171839
Cláudio - MG;01/04/2022;2022;export;Partes reconhecíveis como destinadas às máquinas das posições 8501 ou 8502;Estados Unidos;296082;127703
Cláudio - MG;01/06/2022;2022;export;Outras obras moldadas, de ferro fundido, ferro ou aço;Estados Unidos;285867;134408
Cláudio - MG;01/12/2022;2022;export;Partes reconhecíveis como destinadas às máquinas das posições 8501 ou 8502;Estados Unidos;282783;100720
Cláudio - MG;01/08/2022;2022;export;Outras obras moldadas, de ferro fundido, ferro ou aço;Estados Unidos;272856;131159
Cláudio - MG;01/01/2022;2022;export;Partes reconhecíveis como destinadas às máquinas das posições 8501 ou 8502;Estados Unidos;256240;127283
Cláudio - MG;01/01/2022;2022;export;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;Estados Unidos;247620;155027
Cláudio - MG;01/11/2022;2022;export;Outras obras moldadas, de ferro fundido, ferro ou aço;Estados Unidos;240441;111177
Cláudio - MG;01/05/2022;2022;export;"Máquinas e aparelhos de uso agrícola, hortícola ou florestal, para preparação ou trabalho do solo ou para cultura; rolos para relvados ou para campos de desporto";Estados Unidos;221386;111092
Cláudio - MG;01/06/2022;2022;export;Partes reconhecíveis como destinadas às máquinas das posições 8501 ou 8502;Estados Unidos;209372;80731
Cláudio - MG;01/10/2022;2022;export;"Bombas para líquidos, mesmo com dispositivo medidor; elevadores de líquidos";Estados Unidos;199014;71866
Cláudio - MG;01/05/2022;2022;export;Partes reconhecíveis como destinadas às máquinas das posições 8501 ou 8502;Estados Unidos;189430;83476
Cláudio - MG;01/09/2022;2022;export;Outras obras moldadas, de ferro fundido, ferro ou aço;Estados Unidos;181153;81665
Cláudio - MG;01/07/2022;2022;export;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes;Estados Unidos;166691;59854
Cláudio - MG;01/05/2022;2022;export;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes;Estados Unidos;166402;61265
Cláudio - MG;01/08/2022;2022;export;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;Estados Unidos;160044;85394
Cláudio - MG;01/12/2022;2022;export;Outras obras moldadas, de ferro fundido, ferro ou aço;Estados Unidos;158819;77922
Cláudio - MG;01/03/2022;2022;export;Outras obras moldadas, de ferro fundido, ferro ou aço;Estados Unidos;154808;77006
Cláudio - MG;01/02/2022;2022;export;Outras obras moldadas, de ferro fundido, ferro ou aço;Estados Unidos;152395;76812
Cláudio - MG;01/08/2022;2022;export;Partes reconhecíveis como destinadas às máquinas das posições 8501 ou 8502;Estados Unidos;145638;61053
Cláudio - MG;01/10/2022;2022;export;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes;Estados Unidos;135992;50228
Cláudio - MG;01/10/2022;2022;export;Outras obras moldadas, de ferro fundido, ferro ou aço;Estados Unidos;130317;54951
Cláudio - MG;01/05/2022;2022;export;Outras obras moldadas, de ferro fundido, ferro ou aço;Estados Unidos;122776;57888
Cláudio - MG;01/06/2022;2022;export;"Bombas para líquidos, mesmo com dispositivo medidor; elevadores de líquidos";Estados Unidos;121797;43074
Cláudio - MG;01/09/2022;2022;export;"Bombas para líquidos, mesmo com dispositivo medidor; elevadores de líquidos";Estados Unidos;121766;43547
Cláudio - MG;01/06/2022;2022;export;"Máquinas e aparelhos de uso agrícola, hortícola ou florestal, para preparação ou trabalho do solo ou para cultura; rolos para relvados ou para campos de desporto";Estados Unidos;118129;55202
Cláudio - MG;01/07/2022;2022;export;"Máquinas e aparelhos de uso agrícola, hortícola ou florestal, para preparação ou trabalho do solo ou para cultura; rolos para relvados ou para campos de desporto";Estados Unidos;117939;55202
Cláudio - MG;01/05/2022;2022;export;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;Estados Unidos;116881;65605
Cláudio - MG;01/10/2022;2022;export;"Máquinas e aparelhos de uso agrícola, hortícola ou florestal, para preparação ou trabalho do solo ou para cultura; rolos para relvados ou para campos de desporto";Estados Unidos;116547;55890
Cláudio - MG;01/08/2022;2022;export;"Máquinas e aparelhos de uso agrícola, hortícola ou florestal, para preparação ou trabalho do solo ou para cultura; rolos para relvados ou para campos de desporto";Estados Unidos;114996;55890
Cláudio - MG;01/05/2022;2022;export;"Bombas para líquidos, mesmo com dispositivo medidor; elevadores de líquidos";Estados Unidos;114088;40887
Cláudio - MG;01/09/2022;2022;export;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;Estados Unidos;112080;59867
Cláudio - MG;01/06/2022;2022;export;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;Estados Unidos;110425;58887
Cláudio - MG;01/02/2022;2022;export;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes;Estados Unidos;102550;42667
Cláudio - MG;01/09/2022;2022;export;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes;Estados Unidos;91851;34094
Cláudio - MG;01/12/2022;2022;export;"Máquinas e aparelhos de uso agrícola, hortícola ou florestal, para preparação ou trabalho do solo ou para cultura; rolos para relvados ou para campos de desporto";Estados Unidos;91452;36572
Cláudio - MG;01/08/2022;2022;export;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes;Estados Unidos;86321;31799
Cláudio - MG;01/07/2022;2022;export;"Bombas para líquidos, mesmo com dispositivo medidor; elevadores de líquidos";Estados Unidos;85239;29763
Cláudio - MG;01/02/2022;2022;export;"Bombas para líquidos, mesmo com dispositivo medidor; elevadores de líquidos";Estados Unidos;84446;25729
Cláudio - MG;01/06/2022;2022;export;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes;Estados Unidos;83836;31586
Cláudio - MG;01/04/2022;2022;export;"Bombas para líquidos, mesmo com dispositivo medidor; elevadores de líquidos";Estados Unidos;82437;30334
Cláudio - MG;01/01/2022;2022;export;"Bombas para líquidos, mesmo com dispositivo medidor; elevadores de líquidos";Estados Unidos;81378;26096
Cláudio - MG;01/12/2022;2022;export;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes;Estados Unidos;80719;30170
Cláudio - MG;01/12/2022;2022;export;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;Estados Unidos;79671;42445
Cláudio - MG;01/04/2022;2022;export;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes;Estados Unidos;79437;32847
Cláudio - MG;01/04/2022;2022;export;"Máquinas e aparelhos, para seleccionar, peneirar, separar, lavar, esmagar, moer, misturar ou amassar terras, pedras, minérios ou outras substâncias minerais sólidas (incluídos os pós e pastas); máquinas para aglomerar ou moldar combustíveis minerais sólid";Guiana;75155;49650
Cláudio - MG;01/07/2022;2022;export;"Máquinas e aparelhos, para seleccionar, peneirar, separar, lavar, esmagar, moer, misturar ou amassar terras, pedras, minérios ou outras substâncias minerais sólidas (incluídos os pós e pastas); máquinas para aglomerar ou moldar combustíveis minerais sólid";Guiana;72017;45610
Cláudio - MG;01/02/2022;2022;export;"Máquinas e aparelhos de uso agrícola, hortícola ou florestal, para preparação ou trabalho do solo ou para cultura; rolos para relvados ou para campos de desporto";Estados Unidos;70180;38005
Cláudio - MG;01/01/2022;2022;export;Outras obras moldadas, de ferro fundido, ferro ou aço;Estados Unidos;68446;38723
Cláudio - MG;01/01/2022;2022;export;"Máquinas e aparelhos, para seleccionar, peneirar, separar, lavar, esmagar, moer, misturar ou amassar terras, pedras, minérios ou outras substâncias minerais sólidas (incluídos os pós e pastas); máquinas para aglomerar ou moldar combustíveis minerais sólid";Guiana;67618;43648
Cláudio - MG;01/03/2022;2022;export;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes;Estados Unidos;63367;27928
Cláudio - MG;01/03/2022;2022;export;"Bombas para líquidos, mesmo com dispositivo medidor; elevadores de líquidos";Estados Unidos;60633;27154
Cláudio - MG;01/03/2022;2022;export;Assentos (exceto os da posição 9402), mesmo transformáveis em camas, e suas partes;Argentina;60604;1259
Cláudio - MG;01/08/2022;2022;export;"Bombas para líquidos, mesmo com dispositivo medidor; elevadores de líquidos";Estados Unidos;60077;20595
Cláudio - MG;01/01/2022;2022;export;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes;Estados Unidos;55937;23468
Cláudio - MG;01/04/2022;2022;export;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;Estados Unidos;53926;31623
Cláudio - MG;01/05/2022;2022;export;Assentos (exceto os da posição 9402), mesmo transformáveis em camas, e suas partes;Argentina;47962;1082
Cláudio - MG;01/10/2022;2022;export;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;Estados Unidos;47780;25396
Cláudio - MG;01/11/2022;2022;export;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;Estados Unidos;39919;21283
Cláudio - MG;01/11/2022;2022;export;"Máquinas e aparelhos de uso agrícola, hortícola ou florestal, para preparação ou trabalho do solo ou para cultura; rolos para relvados ou para campos de desporto";Estados Unidos;39857;18630
