Nome_Cidade_API;Data_Ref;year;Tipo_Operacao;Codigo_SH4;Pais_Parceiro;Valor_USD;Peso_KG
Nova Serrana - MG;01/06/2022;2022;export;Calçado com sola exterior de borracha, plástico, couro natural ou reconstituído e parte superior de matérias têxteis;Argentina;2246630;129457
Nova Serrana - MG;01/03/2022;2022;export;Calçado com sola exterior de borracha, plástico, couro natural ou reconstituído e parte superior de matérias têxteis;Argentina;2072859;110740
Nova Serrana - MG;01/04/2022;2022;export;Calçado com sola exterior de borracha, plástico, couro natural ou reconstituído e parte superior de matérias têxteis;Argentina;1908885;102373
Nova Serrana - MG;01/05/2022;2022;export;Calçado com sola exterior de borracha, plástico, couro natural ou reconstituído e parte superior de matérias têxteis;Argentina;1600122;79984
Nova Serrana - MG;01/02/2022;2022;export;Calçado com sola exterior de borracha, plástico, couro natural ou reconstituído e parte superior de matérias têxteis;Argentina;1332730;83786
Nova Serrana - MG;01/08/2022;2022;export;Calçado com sola exterior de borracha, plástico, couro natural ou reconstituído e parte superior de matérias têxteis;Argentina;1125478;59001
Nova Serrana - MG;01/10/2022;2022;export;Calçado com sola exterior de borracha, plástico, couro natural ou reconstituído e parte superior de matérias têxteis;Argentina;1089211;50541
Nova Serrana - MG;01/09/2022;2022;export;Calçado com sola exterior de borracha, plástico, couro natural ou reconstituído e parte superior de matérias têxteis;Argentina;1086189;60028
Nova Serrana - MG;01/07/2022;2022;export;Outro calçado com sola exterior e parte superior de borracha ou plástico;Argentina;1029319;69775
Nova Serrana - MG;01/11/2022;2022;export;Calçado com sola exterior de borracha, plástico, couro natural ou reconstituído e parte superior de matérias têxteis;Argentina;963648;51843
Nova Serrana - MG;01/07/2022;2022;export;Calçado com sola exterior de borracha, plástico, couro natural ou reconstituído e parte superior de matérias têxteis;Argentina;939179;48309
Nova Serrana - MG;01/06/2022;2022;export;Outro calçado com sola exterior e parte superior de borracha ou plástico;Argentina;911122;61126
Nova Serrana - MG;01/09/2022;2022;export;Outro calçado com sola exterior e parte superior de borracha ou plástico;Argentina;886884;46944
Nova Serrana - MG;01/04/2022;2022;export;"Partes de calçado (incluídas as partes superiores, mesmo fixadas a solas que não sejam as solas exteriores); palmilhas amovíveis; reforços interiores e artefactos semelhantes amovíveis; polainas, perneiras e artefactos semelhantes, e suas partes";Argentina;868705;39621
Nova Serrana - MG;01/04/2022;2022;export;Outro calçado com sola exterior e parte superior de borracha ou plástico;Argentina;861196;61485
Nova Serrana - MG;01/05/2022;2022;export;Outro calçado com sola exterior e parte superior de borracha ou plástico;Argentina;851045;60463
Nova Serrana - MG;01/12/2022;2022;export;Outro calçado com sola exterior e parte superior de borracha ou plástico;Argentina;792845;42964
Nova Serrana - MG;01/11/2022;2022;export;Outro calçado com sola exterior e parte superior de borracha ou plástico;Argentina;725557;36951
Nova Serrana - MG;01/03/2022;2022;export;Outro calçado com sola exterior e parte superior de borracha ou plástico;Argentina;670569;41726
Nova Serrana - MG;01/08/2022;2022;export;Outro calçado com sola exterior e parte superior de borracha ou plástico;Argentina;598565;36500
Nova Serrana - MG;01/08/2022;2022;export;"Partes de calçado (incluídas as partes superiores, mesmo fixadas a solas que não sejam as solas exteriores); palmilhas amovíveis; reforços interiores e artefactos semelhantes amovíveis; polainas, perneiras e artefactos semelhantes, e suas partes";Argentina;589963;30842
