Nome_Cidade_API;Data_Ref;year;Tipo_Operacao;Codigo_SH4;Pais_Parceiro;Valor_USD;Peso_KG
Pará de Minas - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Países Baixos (Holanda);5846290;6242000
Pará de Minas - MG;01/03/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Países Baixos (Holanda);5719729;8882000
Pará de Minas - MG;01/08/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;4530751;4454000
Pará de Minas - MG;01/03/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;4423794;7861000
Pará de Minas - MG;01/09/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;4134060;7491000
Pará de Minas - MG;01/06/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;2727992;3807000
Pará de Minas - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;2616456;5958000
Pará de Minas - MG;01/12/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;2326512;5102000
Pará de Minas - MG;01/02/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;1926000;3852000
Pará de Minas - MG;01/11/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);1890627;3705000
Pará de Minas - MG;01/05/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Países Baixos (Holanda);1802865;3005000
Pará de Minas - MG;01/09/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);1505815;2636000
Pará de Minas - MG;01/12/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Países Baixos (Holanda);1326432;2673000
Pará de Minas - MG;01/01/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Países Baixos (Holanda);1301848;1980000
Pará de Minas - MG;01/05/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;México;1191600;1986000
Pará de Minas - MG;01/09/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Espanha;1170756;1575000
Pará de Minas - MG;01/08/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;México;921825;1650000
Pará de Minas - MG;01/01/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);783265;1242000
Pará de Minas - MG;01/01/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Tailândia;695600;1100000
Pará de Minas - MG;01/07/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Itália;688102;983000
Pará de Minas - MG;01/09/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Japão;674640;1008000
Pará de Minas - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Japão;659620;1024000
Pará de Minas - MG;01/04/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Países Baixos (Holanda);614873;976000
Pará de Minas - MG;01/04/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);556850;40971
Pará de Minas - MG;01/05/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;530000;1060000
Pará de Minas - MG;01/08/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;523770;582000
Pará de Minas - MG;01/09/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Tailândia;504454;725000
Pará de Minas - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;México;496485;1003000
Pará de Minas - MG;01/04/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Tailândia;493464;800000
Pará de Minas - MG;01/07/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;393682;380000
Pará de Minas - MG;01/09/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;392030;454000
Pará de Minas - MG;01/06/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Tailândia;390800;450000
Pará de Minas - MG;01/10/2022;2022;export;"Outros veículos aéreos (por exemplo: helicópteros, aviões); veículos espaciais (incluídos os satélites) e seus veículos de lançamento e veículos suborbitais";Turquia;387500;1500
Pará de Minas - MG;01/02/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);387400;540000
Pará de Minas - MG;01/03/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);387400;540000
Pará de Minas - MG;01/10/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);384555;20925
Pará de Minas - MG;01/12/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);384555;20925
Pará de Minas - MG;01/11/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);369592;19981
Pará de Minas - MG;01/12/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Tailândia;363950;650000
Pará de Minas - MG;01/05/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Tailândia;328320;500000
Pará de Minas - MG;01/07/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);326430;20925
Pará de Minas - MG;01/08/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);315800;20050
Pará de Minas - MG;01/05/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);313350;20050
Pará de Minas - MG;01/03/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Tailândia;303733;525000
Pará de Minas - MG;01/03/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);284580;20925
Pará de Minas - MG;01/01/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);284208;20925
Pará de Minas - MG;01/01/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;277330;409000
Pará de Minas - MG;01/11/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;268514;548000
Pará de Minas - MG;01/02/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);265150;20050
Pará de Minas - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Tailândia;259200;450000
Pará de Minas - MG;01/08/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Tailândia;203302;275000
Pará de Minas - MG;01/06/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;197132;234000
