Nome_Cidade_API;Data_Ref;year;Tipo_Operacao;Codigo_SH4;Pais_Parceiro;Valor_USD;Peso_KG
Santo Antônio do Monte - MG;01/11/2022;2022;export;Fogos de artifício, foguetes de sinalização ou contra o granizo e semelhantes, bombas, petardos e outros artigos de pirotecnia;Paraguai;86794;21436
Santo Antônio do Monte - MG;01/08/2022;2022;export;Fogos de artifício, foguetes de sinalização ou contra o granizo e semelhantes, bombas, petardos e outros artigos de pirotecnia;Paraguai;43659;12467
Santo Antônio do Monte - MG;01/06/2022;2022;export;Fogos de artifício, foguetes de sinalização ou contra o granizo e semelhantes, bombas, petardos e outros artigos de pirotecnia;Paraguai;42845;12428
Santo Antônio do Monte - MG;01/07/2022;2022;export;Fogos de artifício, foguetes de sinalização ou contra o granizo e semelhantes, bombas, petardos e outros artigos de pirotecnia;Paraguai;40731;12428
Santo Antônio do Monte - MG;01/04/2022;2022;export;Fogos de artifício, foguetes de sinalização ou contra o granizo e semelhantes, bombas, petardos e outros artigos de pirotecnia;Paraguai;39373;12428
Santo Antônio do Monte - MG;01/05/2022;2022;export;Artigos para festas, carnaval ou outros divertimentos, incluídos os artigos de magia e artigos surpresa;Bolívia;37834;5475
Santo Antônio do Monte - MG;01/03/2022;2022;export;Fogos de artifício, foguetes de sinalização ou contra o granizo e semelhantes, bombas, petardos e outros artigos de pirotecnia;Paraguai;37135;12428
Santo Antônio do Monte - MG;01/12/2022;2022;export;Artigos para festas, carnaval ou outros divertimentos, incluídos os artigos de magia e artigos surpresa;Bolívia;31808;3458
Santo Antônio do Monte - MG;01/11/2022;2022;export;Fogos de artifício, foguetes de sinalização ou contra o granizo e semelhantes, bombas, petardos e outros artigos de pirotecnia;Argentina;18928;6114
Santo Antônio do Monte - MG;01/09/2022;2022;export;Fogos de artifício, foguetes de sinalização ou contra o granizo e semelhantes, bombas, petardos e outros artigos de pirotecnia;Argentina;18928;6114
Santo Antônio do Monte - MG;01/03/2022;2022;import;"Cloratos e percloratos; bromatos e perbromatos; iodatos e periodatos";China;75060;27000
