MUNICIPIO;NOME_INSTITUICAO;QTD_AGENCIAS;VALOR_OPERACOES_CREDITO;VALOR_DEPOSITOS_VISTA;VALOR_POUPANCA;VALOR_DEPOSITOS_PRAZO;DATA_REFERENCIA
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;140829164;2183019;58123819;970325;2023-02-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;16491717;2960175;14418663;36333194;2023-02-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;141876308;2414037;57717616;671671;2023-03-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;16833302;3117637;13848457;26183117;2023-03-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;142550935;2955091;58400353;618077;2023-04-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;17034280;3497850;13853238;27553201;2023-04-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;143878573;2885865;58944038;520990;2023-05-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;18285432;3063644;13439909;45072871;2023-05-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;146103441;3662086;59863826;468714;2023-06-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;18945082;2637349;13309067;34939663;2023-06-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;147277389;3454372;59854175;737714;2023-07-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19349278;2794903;13715617;39103511;2023-07-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;147901915;2229827;59662582;745831;2023-08-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19426900;3544228;14222692;43571046;2023-08-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;148617952;2354498;59410122;853149;2023-09-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19773409;3631614;14456810;39911970;2023-09-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;150141976;2072132;59406662;863203;2023-10-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19005357;3164534;14398325;50025570;2023-10-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;150978973;2936832;58987158;610439;2023-11-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;18776312;2704938;14368157;45472197;2023-11-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;152843637;3315146;59310859;683979;2023-12-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;18130034;3263213;14638436;47292439;2023-12-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;153550281;3533967;59046845;884112;2024-01-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;18903502;4065443;14744753;51818789;2024-01-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;154639366;3550878;59604013;784042;2024-02-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19637284;2323786;14617669;30858316;2024-02-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;155432261;2850490;60039807;866873;2024-03-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19162550;2928310;14632879;42021509;2024-03-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;155929031;2865503;59825356;1154020;2024-04-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19690469;3246824;14393318;32567909;2024-04-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;155951260;3475484;59844363;2001020;2024-05-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19790712;2745342;14405483;33173257;2024-05-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;157207751;4866110;60559801;2495372;2024-06-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19723235;2698946;14651209;29581139;2024-06-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;158027567;4813630;60228611;2898755;2024-07-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19553117;2817332;14715022;35938769;2024-07-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;159459210;3915358;60045451;2943203;2024-08-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19090770;3215678;14934641;33741997;2024-08-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;159842585;2874197;60886613;3222291;2024-09-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19442606;2626366;15251744;32745441;2024-09-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;161783441;3908245;61768159;3437251;2024-10-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19524913;3518678;14936565;35634397;2024-10-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;163632222;3814590;62691323;3849685;2024-11-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19763199;3491632;15768829;34112232;2024-11-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;164414024;3928039;63719137;4145526;2024-12-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19477457;3277747;15986116;56391118;2024-12-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;164961913;4309368;63655963;3698668;2025-01-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19714189;2358129;15550928;39878014;2025-01-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;166184555;4503578;63365196;3729229;2025-02-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19794472;3072437;16561699;37503355;2025-02-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;168463554;4104164;64265620;3772744;2025-03-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;20057812;2170807;16123702;41035903;2025-03-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;170005912;5227251;65562558;3957762;2025-04-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;20218398;3786188;16081007;38303003;2025-04-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;170378954;6257236;66325677;5982912;2025-05-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19239842;2332462;15878069;39016320;2025-05-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;171023122;5869517;66895450;6763001;2025-06-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;20339403;2848068;16090413;39454459;2025-06-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;170294800;6064297;67215254;7230428;2025-07-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;20751038;3869536;15890146;42834480;2025-07-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;169803536;5046746;67082402;7908749;2025-08-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;19548775;4009918;15894060;40823507;2025-08-01
CLAUDIO;CAIXA ECONOMICA FEDERAL;1;170553496;4245700;66372571;7645170;2025-09-01
CLAUDIO;ITAÚ UNIBANCO S.A.;1;18742687;3288078;15327761;38188848;2025-09-01
