MUNICIPIO;NOME_INSTITUICAO;QTD_AGENCIAS;VALOR_OPERACOES_CREDITO;VALOR_DEPOSITOS_VISTA;VALOR_POUPANCA;VALOR_DEPOSITOS_PRAZO;DATA_REFERENCIA
PARA DE MINAS;BCO BRADESCO S.A.;1;3150481;5188493;26825752;37451504;2023-02-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;483761704;22413346;105506025;85622082;2023-02-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;36295928;1956626;31053648;76447494;2023-02-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;570196999;29205948;271785152;12337127;2023-02-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;61801476;6218209;61016247;98452802;2023-02-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2564528;4819454;26774802;41213720;2023-03-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;483684657;21991194;105489161;84408990;2023-03-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;35503512;2334032;30751281;82474944;2023-03-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;576459021;22029520;270396949;12020083;2023-03-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;62647111;5017464;60310810;105613515;2023-03-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2545062;4149969;26079360;39160685;2023-04-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;485680345;25578194;103716288;84313680;2023-04-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;36112098;1678066;30820399;91337496;2023-04-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;583408716;21942653;268553518;11674026;2023-04-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;63123761;5720549;59561453;91819250;2023-04-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2291376;5038429;26301031;34166839;2023-05-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;484491640;23562994;100633935;91640872;2023-05-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;35524486;1926060;31039972;106670684;2023-05-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;587083680;21699078;269617100;11909942;2023-05-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;68337757;5413941;58736222;104177454;2023-05-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2030882;4162693;26850544;33470961;2023-06-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;474995296;22446393;101535225;94845888;2023-06-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;34437758;1027584;32856534;74010176;2023-06-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;591753267;21902533;270639893;17492117;2023-06-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;67271974;5090922;59098648;111520352;2023-06-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2461751;4786895;26516329;37178763;2023-07-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;476635482;24214273;99079121;99734566;2023-07-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;34083602;1567636;32048749;79661494;2023-07-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;595012026;17777040;273301654;17009553;2023-07-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;67767137;6703027;57481814;104617821;2023-07-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2701146;3731094;26223913;36847454;2023-08-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;511383968;25270618;97239009;100288908;2023-08-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;32051448;1071498;31292879;87150675;2023-08-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;598267695;18496649;275611392;19694973;2023-08-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;70923937;7752580;58345552;125321583;2023-08-01
PARA DE MINAS;BCO BRADESCO S.A.;1;3369512;4086234;27061054;36968940;2023-09-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;531996510;25001554;99552355;95411901;2023-09-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;34091321;1653558;31139961;96221905;2023-09-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;602806849;19026826;274868392;19844979;2023-09-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;68901219;11194526;57912501;113878943;2023-09-01
PARA DE MINAS;BCO BRADESCO S.A.;1;3129292;3806762;26618843;43266212;2023-10-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;531250015;24480522;95291956;96483983;2023-10-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;33496306;1317072;31053699;92429606;2023-10-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;606503772;20739324;273024198;19727295;2023-10-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;68167535;5852635;59743810;113083105;2023-10-01
PARA DE MINAS;BCO BRADESCO S.A.;1;3270495;3971912;28460772;47494963;2023-11-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;536999527;28852408;95241087;97778603;2023-11-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;36202262;999373;31177428;106365312;2023-11-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;610918878;22280199;272004434;20039506;2023-11-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;67762894;5855169;59044140;116491832;2023-11-01
PARA DE MINAS;BCO BRADESCO S.A.;1;3500369;8409049;28799745;49538868;2023-12-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;541079332;26316584;97720556;98795458;2023-12-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;35725279;779867;32011877;104346909;2023-12-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;614349880;23030242;277153906;20644395;2023-12-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;65707768;5675501;59415024;103935937;2023-12-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2899911;3363073;26875489;52896258;2024-01-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;552355610;23036722;96852178;99227395;2024-01-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;37465471;1284744;31133715;106413349;2024-01-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;617132172;23722479;270880503;22160281;2024-01-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;64487241;5340134;58754604;96254903;2024-01-01
PARA DE MINAS;BCO BRADESCO S.A.;1;3658958;3568253;27247628;49496183;2024-02-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;549038607;21088242;96290251;92510033;2024-02-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;37533279;1099433;30522456;88660871;2024-02-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;622982383;26529559;274852244;25199967;2024-02-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;64319787;6279536;57998499;101090698;2024-02-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2751114;3301879;27352444;47955400;2024-03-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;554220298;22526886;94759028;90470519;2024-03-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;37556917;1261732;31147928;109270219;2024-03-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;627243091;27047589;274247835;24586465;2024-03-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;64594878;5438894;56805079;93266320;2024-03-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2877272;3355766;26783368;42140746;2024-04-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;558563453;24640799;94874577;89789560;2024-04-01
