Cidade;Ano;Categoria;Quantidade_Beneficios;Valor_Anual_Injetado
Cláudio;2024;Aposentadoria por Idade;2081.0;37236990.730000004
Cláudio;2024;Aposentadoria por Tempo de Contribuição;1435.0;35136934.4
Cláudio;2024;Pensões por Morte;1299.0;24025249.29
Cláudio;2024;Benefícios Assistenciais (BPC);551.0;8651454.73
Cláudio;2024;Aposentadoria por Invalidez;451.0;8641612.43
Cláudio;2024;Auxílios (Doença/Acidente);247.0;3550721.57
Cláudio;2022;Aposentadoria por Idade;1920.0;29864882.74
Cláudio;2022;Aposentadoria por Tempo de Contribuição;1390.0;29829973.32
Cláudio;2022;Pensões por Morte;1295.0;21265911.98
Cláudio;2022;Aposentadoria por Invalidez;459.0;7742913.09
Cláudio;2022;Benefícios Assistenciais (BPC);476.0;6646358.25
Cláudio;2022;Auxílios (Doença/Acidente);121.0;1374634.98
Cláudio;2021;Aposentadoria por Tempo de Contribuição;1347.0;26485804.41
Cláudio;2021;Aposentadoria por Idade;1842.0;26362667.72
Cláudio;2021;Pensões por Morte;1300.0;19123722.34
Cláudio;2021;Aposentadoria por Invalidez;455.0;7104045.1
Cláudio;2021;Benefícios Assistenciais (BPC);443.0;5821658.13
Cláudio;2021;Auxílios (Doença/Acidente);112.0;1156005.42
