Cidade;Ano;Categoria;Quantidade_Beneficios;Valor_Anual_Injetado
Pará de Minas;2024;Aposentadoria por Tempo de Contribuição;5427.0;145371468.95999998
Pará de Minas;2024;Aposentadoria por Idade;6367.0;114947762.47
Pará de Minas;2024;Pensões por Morte;5188.0;101586521.58
Pará de Minas;2024;Aposentadoria por Invalidez;1808.0;36727163.11
Pará de Minas;2024;Benefícios Assistenciais (BPC);2228.0;32510791.520000003
Pará de Minas;2024;Auxílios (Doença/Acidente);1103.0;22679318.970000003
Pará de Minas;2022;Aposentadoria por Tempo de Contribuição;5380.0;127950988.18
Pará de Minas;2022;Pensões por Morte;5037.0;88869334.23
Pará de Minas;2022;Aposentadoria por Idade;5618.0;88491605.7
Pará de Minas;2022;Aposentadoria por Invalidez;1874.0;34383179.69
Pará de Minas;2022;Benefícios Assistenciais (BPC);1955.0;26191811.71
Pará de Minas;2022;Auxílios (Doença/Acidente);982.0;15558925.239999998
Pará de Minas;2021;Aposentadoria por Tempo de Contribuição;5231.0;114707506.52
Pará de Minas;2021;Pensões por Morte;4894.0;79286496.67
Pará de Minas;2021;Aposentadoria por Idade;5234.0;76750939.76
Pará de Minas;2021;Aposentadoria por Invalidez;1854.0;31790837.3
Pará de Minas;2021;Benefícios Assistenciais (BPC);1814.0;23671806.14
Pará de Minas;2021;Auxílios (Doença/Acidente);906.0;13233290.129999999
