Cidade;Ano;Categoria;Quantidade_Beneficios;Valor_Anual_Injetado
Santo Antônio do Monte;2024;Aposentadoria por Idade;2199.0;39543176.16
Santo Antônio do Monte;2024;Pensões por Morte;1224.0;22307587.49
Santo Antônio do Monte;2024;Aposentadoria por Tempo de Contribuição;608.0;16667448.23
Santo Antônio do Monte;2024;Benefícios Assistenciais (BPC);683.0;10631997.43
Santo Antônio do Monte;2024;Aposentadoria por Invalidez;441.0;8014345.529999999
Santo Antônio do Monte;2024;Auxílios (Doença/Acidente);196.0;2862937.92
Santo Antônio do Monte;2022;Aposentadoria por Idade;1915.0;30402203.95
Santo Antônio do Monte;2022;Pensões por Morte;1150.0;18873342.67
Santo Antônio do Monte;2022;Aposentadoria por Tempo de Contribuição;573.0;13548487.55
Santo Antônio do Monte;2022;Benefícios Assistenciais (BPC);599.0;8270440.749999999
Santo Antônio do Monte;2022;Aposentadoria por Invalidez;426.0;6975206.2
Santo Antônio do Monte;2022;Auxílios (Doença/Acidente);126.0;1620921.41
Santo Antônio do Monte;2021;Aposentadoria por Idade;1873.0;27506518.16
Santo Antônio do Monte;2021;Pensões por Morte;1156.0;16776027.19
Santo Antônio do Monte;2021;Aposentadoria por Tempo de Contribuição;559.0;12150854.18
Santo Antônio do Monte;2021;Benefícios Assistenciais (BPC);557.0;7443494.61
Santo Antônio do Monte;2021;Aposentadoria por Invalidez;417.0;6277744.31
Santo Antônio do Monte;2021;Auxílios (Doença/Acidente);120.0;1476164.2999999998
