Cidade;Ano;Categoria;Quantidade_Beneficios;Valor_Anual_Injetado
São Sebastião do Oeste;2024;Aposentadoria por Idade;223.0;4096713.7
São Sebastião do Oeste;2024;Aposentadoria por Tempo de Contribuição;98.0;3040693.38
São Sebastião do Oeste;2024;Pensões por Morte;112.0;2274573.13
São Sebastião do Oeste;2024;Benefícios Assistenciais (BPC);70.0;1046765.8399999999
São Sebastião do Oeste;2024;Aposentadoria por Invalidez;40.0;821089.55
São Sebastião do Oeste;2024;Auxílios (Doença/Acidente);19.0;237225.08000000002
São Sebastião do Oeste;2022;Aposentadoria por Idade;185.0;3816601.39
São Sebastião do Oeste;2022;Aposentadoria por Tempo de Contribuição;96.0;2888608.08
São Sebastião do Oeste;2022;Pensões por Morte;104.0;2192419.72
São Sebastião do Oeste;2022;Benefícios Assistenciais (BPC);48.0;885861.25
São Sebastião do Oeste;2022;Aposentadoria por Invalidez;39.0;789869.13
São Sebastião do Oeste;2022;Auxílios (Doença/Acidente);3.0;87428.95
São Sebastião do Oeste;2021;Aposentadoria por Idade;298.0;4438681.07
São Sebastião do Oeste;2021;Aposentadoria por Tempo de Contribuição;112.0;2828030.56
São Sebastião do Oeste;2021;Pensões por Morte;150.0;2402708.7
São Sebastião do Oeste;2021;Benefícios Assistenciais (BPC);86.0;1094798.28
São Sebastião do Oeste;2021;Aposentadoria por Invalidez;49.0;829697.93
São Sebastião do Oeste;2021;Auxílios (Doença/Acidente);6.0;115790.65
