ano;mes;sigla_uf;id_municipio;cnae_2_secao;cnae_2_subclasse;saldo_movimentacao;cbo_2002;categoria;grau_instrucao;idade;horas_contratuais;raca_cor;sexo;tipo_empregador;tipo_estabelecimento;tipo_movimentacao;tipo_deficiencia;indicador_trabalho_intermitente;indicador_trabalho_parcial;salario_mensal;tamanho_estabelecimento_janeiro;indicador_aprendiz;origem_informacao;indicador_fora_prazo
2025;6;MG;3114402;S;9430800;-1;521110;101;7;46;44.0;1;3;0;1;31;0;0;0;1518.0;2;0;1;0
2025;6;MG;3114402;H;4930202;-1;782510;101;7;41;44.0;1;1;0;1;40;0;0;0;2507.78;3;0;1;0
2025;6;MG;3114402;A;0151202;-1;621005;101;3;34;44.0;1;1;2;3;40;0;0;0;1559.0;1;0;1;0
2025;6;MG;3114402;G;4711302;-1;514320;101;7;54;44.0;3;3;0;1;40;0;0;0;1625.4;6;0;1;0
2025;6;MG;3114402;G;4772500;-1;521110;101;7;28;44.0;1;3;0;1;31;0;0;0;1629.0;2;0;1;0
2025;6;MG;3114402;B;0729404;-1;710120;101;7;36;44.0;1;1;0;1;31;0;0;0;1710.0;4;0;1;0
2025;6;MG;3114402;G;4711302;-1;513205;101;7;51;44.0;1;3;0;1;40;0;0;0;1625.4;1;0;1;0
2025;6;MG;3114402;A;0134200;-1;641015;101;7;45;44.0;3;1;2;3;31;0;0;0;2732.4;4;0;1;0
2025;6;MG;3114402;A;0134200;-1;622610;102;7;22;44.0;2;1;2;3;40;0;0;0;0.0;1;0;1;0
2025;6;MG;3114402;I;5611201;-1;513405;101;7;44;30.0;1;3;0;1;40;0;0;0;1035.0;3;0;1;0
2025;6;MG;3114402;P;8599601;-1;333105;101;7;45;44.0;1;1;0;1;31;0;0;0;2389.0;3;0;1;0
2025;6;MG;3114402;G;4744005;-1;521110;101;9;50;44.0;3;3;0;1;31;0;0;0;1628.63;5;0;1;0
2025;6;MG;3114402;A;0134200;-1;622610;102;7;28;44.0;1;1;2;3;40;0;0;0;0.0;1;0;1;0
