ano;mes;sigla_uf;id_municipio;cnae_2_secao;cnae_2_subclasse;saldo_movimentacao;cbo_2002;categoria;grau_instrucao;idade;horas_contratuais;raca_cor;sexo;tipo_empregador;tipo_estabelecimento;tipo_movimentacao;tipo_deficiencia;indicador_trabalho_intermitente;indicador_trabalho_parcial;salario_mensal;tamanho_estabelecimento_janeiro;indicador_aprendiz;origem_informacao;indicador_fora_prazo
2025;6;MG;3145604;C;2945000;-1;731135;101;7;32;44.0;3;3;0;1;40;0;0;0;1675.8;10;0;1;0
2025;6;MG;3145604;F;4110700;-1;717020;101;7;22;44.0;1;1;0;1;31;0;0;0;1572.91;6;0;1;0
2025;6;MG;3145604;F;4399103;-1;715210;101;2;59;44.0;2;1;2;4;31;0;0;0;1636.8;1;0;1;0
2025;6;MG;3145604;H;4930202;-1;413110;101;6;26;44.0;1;1;0;1;31;0;0;0;1518.0;3;0;1;0
2025;6;MG;3145604;I;5510801;-1;422130;101;7;39;44.0;1;1;0;1;31;0;0;0;1606.42;4;0;1;0
2025;6;MG;3145604;I;5611201;-1;513405;101;7;22;44.0;2;1;0;1;40;0;0;0;1720.0;4;0;1;0
2025;6;MG;3145604;C;1351100;-1;763310;101;7;44;30.0;3;3;0;1;31;0;0;0;1185.98;2;0;1;0
2025;6;MG;3145604;I;5510801;-1;513505;101;7;40;22.0;3;3;0;1;31;0;0;0;803.21;4;0;1;0
2025;6;MG;3145604;F;4110700;-1;717020;101;7;19;44.0;1;1;0;1;40;0;0;0;1792.21;6;0;1;0
2025;6;MG;3145604;A;0210108;-1;632125;101;7;24;44.0;2;1;0;1;31;0;0;0;1518.0;3;0;1;0
2025;6;MG;3145604;J;6110803;-1;410205;101;8;38;44.0;1;1;0;1;31;0;0;0;2768.92;5;0;1;0
2025;6;MG;3145604;A;0161003;-1;623115;101;7;36;38.33;2;1;2;3;40;0;0;0;1518.0;2;0;1;0
2025;6;MG;3145604;I;5611201;-1;521140;101;6;21;44.0;3;3;0;1;31;0;0;0;1900.0;7;0;1;0
2025;6;MG;3145604;G;4782201;-1;521110;101;6;22;44.0;3;1;0;1;40;0;0;0;0.0;3;0;1;0
2025;6;MG;3145604;F;4299599;-1;715210;101;7;58;44.0;3;1;0;1;31;0;0;0;3440.0;5;0;1;0
2025;6;MG;3145604;G;4711302;-1;513505;101;7;36;44.0;3;1;0;1;40;0;0;0;1888.92;6;0;1;0
2025;6;MG;3145604;C;2945000;-1;731135;101;6;26;44.0;3;1;0;1;31;0;0;0;1675.8;10;0;1;0
2025;6;MG;3145604;A;0134200;-1;622610;102;7;22;44.0;1;1;2;3;40;0;0;0;1518.0;3;0;1;0
2025;6;MG;3145604;C;1539400;-1;764105;101;7;32;44.0;3;3;0;1;40;0;0;0;1534.0;8;0;1;0
2025;6;MG;3145604;C;2945000;-1;731135;101;7;51;44.0;3;3;0;1;31;0;0;0;1675.8;10;0;1;0
2025;6;MG;3145604;F;4110700;-1;715210;101;4;34;44.0;1;1;0;1;31;0;0;0;2558.84;6;0;1;0
2025;6;MG;3145604;G;4741500;-1;411005;101;7;57;44.0;1;3;0;1;31;0;0;0;1518.0;4;0;1;0
2025;6;MG;3145604;G;4637106;-1;421125;101;7;18;44.0;1;1;0;1;31;0;0;0;1558.11;2;0;1;0
2025;6;MG;3145604;C;2945000;-1;414140;101;7;20;44.0;2;1;0;1;40;0;0;0;1773.57;10;0;1;0
2025;6;MG;3145604;C;1539400;-1;764105;101;7;19;44.0;2;1;0;1;31;0;0;0;1534.0;8;0;1;0
2025;6;MG;3145604;G;4729699;-1;521110;101;7;59;44.0;3;1;0;1;31;0;0;0;1628.63;2;0;1;0
2025;6;MG;3145604;A;0134200;-1;622505;101;4;41;44.0;1;1;0;1;40;0;0;0;1518.0;5;0;1;0
2025;6;MG;3145604;C;1539400;-1;764105;101;7;36;44.0;3;3;0;1;40;0;0;0;1534.0;8;0;1;0
2025;6;MG;3145604;G;4743100;-1;723315;101;7;25;43.0;1;1;0;1;31;0;0;0;2135.0;4;0;1;0
2025;6;MG;3145604;A;0142300;-1;622610;101;4;47;44.0;3;1;2;3;40;0;0;0;1518.0;2;0;1;0
2025;6;MG;3145604;A;0154700;-1;414110;101;7;18;44.0;1;1;0;1;40;0;0;0;1518.0;9;0;1;0
2025;6;MG;3145604;G;4743100;-1;716305;101;7;24;44.0;2;1;0;1;31;0;0;0;1830.0;2;0;1;0
2025;6;MG;3145604;C;1091101;-1;784205;101;7;18;44.0;2;1;0;1;40;0;0;0;1518.0;5;0;1;0
2025;6;MG;3145604;G;4639701;-1;848510;101;7;20;44.0;1;1;0;1;40;0;0;0;2201.29;7;0;1;0
2025;6;MG;3145604;A;0154700;-1;622020;101;5;28;44.0;3;1;0;1;40;0;0;0;1518.0;9;0;1;0
2025;6;MG;3145604;C;2945000;-1;731135;101;7;28;44.0;2;1;0;1;40;0;0;0;1675.8;10;0;1;0
2025;6;MG;3145604;N;8219999;-1;763210;101;6;50;44.0;3;3;0;1;31;0;0;0;1212.0;2;0;1;0
2025;6;MG;3145604;Q;8630504;-1;322415;101;7;28;44.0;3;3;0;1;31;0;0;0;1518.0;2;0;1;0
2025;6;MG;3145604;G;4711302;-1;421125;101;7;37;44.0;2;3;0;1;40;0;0;0;1625.4;6;0;1;0
2025;6;MG;3145604;A;0151202;-1;715135;101;5;24;44.0;1;1;2;3;31;0;0;0;1785.0;6;0;1;0
2025;6;MG;3145604;C;1539400;-1;764105;101;5;24;44.0;3;3;0;1;40;0;0;0;1534.0;8;0;1;0
2025;6;MG;3145604;C;1539400;-1;764105;101;7;24;44.0;2;3;0;1;40;0;0;0;1534.0;8;0;1;0
2025;6;MG;3145604;F;4213800;-1;992225;101;5;48;44.0;1;1;0;1;40;0;0;0;1800.0;5;0;1;0
2025;6;MG;3145604;I;5611201;-1;521140;101;6;17;44.0;3;1;0;1;31;0;0;0;1900.0;7;0;1;0
2025;6;MG;3145604;N;8211300;-1;412205;101;9;27;44.0;2;3;0;1;31;0;0;0;1628.63;4;0;1;0
2025;6;MG;3145604;A;0134200;-1;621005;101;6;19;44.0;1;1;2;3;31;0;0;0;1518.0;3;0;1;0
2025;6;MG;3145604;C;2945000;-1;731135;101;7;32;44.0;2;3;0;1;31;0;0;0;1675.8;10;0;1;0
2025;6;MG;3145604;C;1091102;-1;421125;101;7;31;44.0;1;3;0;1;31;0;0;0;1778.94;4;0;1;0
2025;6;MG;3145604;C;2945000;-1;731135;101;6;20;44.0;3;1;0;1;31;0;0;0;1675.8;10;0;1;0
