ano;mes;sigla_uf;id_municipio;cnae_2_secao;cnae_2_subclasse;saldo_movimentacao;cbo_2002;categoria;grau_instrucao;idade;horas_contratuais;raca_cor;sexo;tipo_empregador;tipo_estabelecimento;tipo_movimentacao;tipo_deficiencia;indicador_trabalho_intermitente;indicador_trabalho_parcial;salario_mensal;tamanho_estabelecimento_janeiro;indicador_aprendiz;origem_informacao;indicador_fora_prazo
2025;6;MG;3147105;C;1321900;-1;761309;101;6;39;44.0;3;1;0;1;31;0;0;0;1518.0;8;0;1;0
2025;6;MG;3147105;G;4711302;-1;521140;101;6;47;44.0;1;3;0;1;31;0;0;0;1635.0;5;0;1;0
2025;6;MG;3147105;A;0155502;-1;623305;101;3;55;44.0;1;3;0;1;40;0;0;0;1518.0;9;0;1;0
2025;6;MG;3147105;C;2219600;-1;784205;101;8;22;44.0;3;1;0;1;40;0;0;0;1756.9;8;0;1;0
2025;6;MG;3147105;C;2342702;-1;411010;101;7;24;44.0;2;3;0;1;40;0;0;0;2291.36;6;0;1;0
2025;6;MG;3147105;G;4631100;-1;782220;101;7;20;44.0;1;1;0;1;40;0;0;0;2513.7;8;0;1;0
2025;6;MG;3147105;H;4930202;-1;514110;101;6;18;44.0;3;1;0;1;40;0;0;0;2032.11;3;0;1;0
2025;6;MG;3147105;N;8299799;-1;813115;101;6;35;44.0;3;1;0;1;32;0;0;0;3450.0;6;0;1;0
2025;6;MG;3147105;C;2219600;-1;784105;101;5;47;44.0;3;1;0;1;40;0;0;0;2059.0;8;0;1;0
2025;6;MG;3147105;A;0154700;-1;623310;101;7;47;44.0;3;1;2;3;31;0;0;0;1935.0;1;0;1;0
2025;6;MG;3147105;C;2599302;-1;414105;101;4;27;44.0;3;3;0;1;31;0;0;0;2411.0;6;0;1;0
2025;6;MG;3147105;A;0155502;-1;514320;101;5;27;44.0;1;3;0;1;40;0;0;0;1580.0;6;0;1;0
2025;6;MG;3147105;C;1011201;-1;784205;101;3;29;44.0;3;3;0;1;40;0;0;0;1720.33;8;0;1;0
2025;6;MG;3147105;G;4685100;-1;411005;101;7;37;44.0;3;1;0;1;40;0;0;0;1883.2;3;0;1;0
2025;6;MG;3147105;G;4711302;-1;421125;101;4;19;44.0;3;3;0;1;32;0;0;0;1635.0;6;0;1;0
2025;6;MG;3147105;C;1012101;-1;414115;101;7;21;44.0;3;1;0;1;40;0;0;0;2019.79;8;0;1;0
2025;6;MG;3147105;F;4213800;-1;782510;101;9;34;44.0;1;1;0;1;40;0;0;0;2324.46;7;0;1;0
2025;6;MG;3147105;G;4713002;-1;521140;101;7;31;44.0;2;3;0;1;40;0;0;0;1628.63;4;0;1;0
2025;6;MG;3147105;G;4781400;-1;521110;101;7;26;44.0;3;3;0;1;31;0;0;9;1628.63;2;0;1;0
2025;6;MG;3147105;H;4930202;-1;782510;101;7;45;44.0;1;1;0;1;40;0;0;9;2903.78;3;0;1;0
2025;6;MG;3147105;C;1066000;-1;783210;101;6;37;44.0;3;1;0;1;31;0;0;0;1948.0;7;0;1;0
2025;6;MG;3147105;C;2062200;-1;411005;101;7;31;45.0;3;3;0;1;31;0;0;0;2150.0;4;0;1;0
2025;6;MG;3147105;C;1052000;-1;784205;101;7;28;44.0;3;3;0;1;40;0;0;0;1518.0;10;0;1;0
2025;6;MG;3147105;I;5611201;-1;513435;101;5;36;46.86;3;3;0;1;40;0;0;0;1682.0;3;0;1;0
2025;6;MG;3147105;A;0151201;-1;632120;101;2;55;45.0;3;1;2;3;40;0;0;0;1518.0;1;0;1;0
2025;6;MG;3147105;C;1012101;-1;848505;101;7;29;44.0;3;1;0;1;40;0;0;0;1716.56;9;0;1;0
2025;6;MG;3147105;C;2945000;-1;784205;101;7;23;44.0;3;3;0;1;40;0;0;0;1738.0;9;0;1;0
2025;6;MG;3147105;G;4711302;-1;848510;101;7;28;44.0;3;1;0;1;40;0;0;0;2250.9;5;0;1;0
2025;6;MG;3147105;G;4731800;-1;521135;101;7;33;44.0;3;1;0;1;40;0;0;0;1646.0;4;0;1;0
2025;6;MG;3147105;G;4752100;-1;521110;101;6;23;44.0;3;3;0;1;40;0;0;0;1628.63;1;0;1;0
2025;6;MG;3147105;F;4399103;-1;715210;101;3;42;45.0;3;1;2;4;31;0;0;0;2239.93;1;0;1;0
2025;6;MG;3147105;C;1012101;-1;848505;101;7;29;44.0;3;1;0;1;40;0;0;0;1518.0;9;0;1;0
2025;6;MG;3147105;C;1321900;-1;761348;101;6;25;44.0;3;1;0;1;40;0;0;0;1518.0;8;0;1;0
2025;6;MG;3147105;C;2421100;-1;821315;101;7;28;44.0;3;1;0;1;40;0;0;0;2286.07;3;0;1;0
2025;6;MG;3147105;G;4711301;-1;521125;101;7;29;42.9;3;3;0;1;40;0;0;0;1635.0;7;0;1;0
2025;6;MG;3147105;I;5611203;-1;513435;101;7;17;44.0;1;3;0;1;40;0;0;0;1628.63;3;0;1;0
2025;6;MG;3147105;A;0155502;-1;623305;101;7;22;47.82;3;1;0;1;31;0;0;0;1593.54;9;0;1;0
2025;6;MG;3147105;L;6810201;-1;717020;101;7;58;44.0;3;1;0;1;31;0;0;0;1606.0;4;0;1;0
2025;6;MG;3147105;Q;8690901;-1;221205;101;9;29;44.0;3;3;0;1;31;0;0;0;2500.0;2;0;1;0
2025;6;MG;3147105;G;4771701;-1;521125;101;8;25;44.0;1;1;0;1;32;0;0;0;1518.0;5;0;1;0
2025;6;MG;3147105;C;1011201;-1;784205;101;7;28;44.0;3;3;0;1;40;0;0;0;1720.33;8;0;1;0
2025;6;MG;3147105;C;2451200;-1;821450;101;9;29;44.0;1;1;0;1;40;0;0;0;1614.8;5;0;1;0
2025;6;MG;3147105;G;4631100;-1;840105;101;7;31;44.0;1;1;0;1;40;0;0;0;3502.19;8;0;1;0
2025;6;MG;3147105;I;5611203;-1;513505;101;6;16;44.0;3;1;0;1;40;0;0;0;1672.38;4;0;1;0
2025;6;MG;3147105;G;4759899;-1;142305;101;7;21;44.0;3;3;0;1;31;0;0;0;2305.0;3;0;1;0
2025;6;MG;3147105;F;4322302;-1;911205;101;6;18;44.0;1;1;0;1;40;0;0;0;1518.0;2;0;1;0
2025;6;MG;3147105;G;4711302;-1;521125;101;7;28;44.0;3;1;0;1;40;0;0;0;2498.05;6;0;1;0
2025;6;MG;3147105;G;4520001;-1;913120;101;7;28;44.0;3;1;0;1;31;0;0;0;1650.0;4;0;1;0
2025;6;MG;3147105;N;8211300;-1;142320;101;7;34;44.0;3;3;0;1;31;0;0;0;1628.63;5;0;1;0
2025;6;MG;3147105;G;4633801;-1;784205;101;7;24;44.0;3;1;0;1;40;0;0;0;1518.0;1;0;1;0
2025;6;MG;3147105;F;4221902;-1;715615;101;4;41;44.0;1;1;0;1;31;0;0;0;1518.0;8;0;1;0
2025;6;MG;3147105;G;4712100;-1;411005;101;8;22;44.0;3;3;0;1;31;0;0;0;1628.63;2;0;1;0
2025;6;MG;3147105;N;8219999;-1;411005;101;7;42;1.0;2;1;0;1;31;0;0;0;37.0;7;0;1;0
2025;6;MG;3147105;C;1012103;-1;848520;101;4;48;44.0;3;1;0;1;40;0;0;0;1750.0;7;0;1;0
2025;6;MG;3147105;C;2599399;-1;911305;101;7;30;44.0;3;1;0;1;31;0;0;0;2000.0;4;0;1;0
2025;6;MG;3147105;E;3600601;-1;519940;101;7;59;44.0;3;1;0;1;31;0;0;0;1799.0;7;0;1;0
2025;6;MG;3147105;F;4120400;-1;351605;101;9;44;44.0;1;3;0;4;31;0;0;0;2650.0;4;0;1;0
2025;6;MG;3147105;S;9430800;-1;422310;101;5;29;32.33;1;3;0;1;31;0;0;0;1533.18;3;0;1;0
2025;6;MG;3147105;A;0154700;-1;623215;101;7;58;44.0;1;1;2;3;40;0;0;0;1518.0;1;0;1;0
2025;6;MG;3147105;C;1052000;-1;784205;101;4;23;44.0;3;1;0;1;40;0;0;0;1700.0;10;0;1;0
2025;6;MG;3147105;G;4711301;-1;421125;101;7;50;41.08;3;3;0;1;40;0;0;0;1720.0;7;0;1;0
2025;6;MG;3147105;G;4711302;-1;521140;101;7;23;44.0;3;3;0;1;40;0;0;0;1635.0;6;0;1;0
2025;6;MG;3147105;G;4761003;-1;521110;101;7;18;44.0;1;3;0;1;40;0;0;0;1750.0;3;0;1;0
2025;6;MG;3147105;H;4930202;-1;782510;101;4;33;44.0;1;1;0;1;40;0;0;0;2292.28;7;0;1;0
2025;6;MG;3147105;G;4530705;-1;410105;101;7;51;44.0;1;3;0;1;31;0;0;0;2353.78;3;0;1;0
2025;6;MG;3147105;H;5250803;-1;521110;101;7;25;54.0;1;1;0;1;31;0;0;0;1700.0;2;0;1;0
2025;6;MG;3147105;Q;8630504;-1;322405;101;7;32;40.0;1;3;0;1;31;0;0;0;1710.0;3;0;1;0
2025;6;MG;3147105;I;5611203;-1;233215;101;7;19;45.4;3;3;0;1;32;0;0;0;1659.2;3;0;1;0
2025;6;MG;3147105;C;1052000;-1;784205;101;6;33;44.0;3;3;0;1;40;0;0;0;1518.0;10;0;1;0
2025;6;MG;3147105;C;1321900;-1;761309;101;7;38;44.0;1;1;0;1;40;0;0;0;1518.0;8;0;1;0
2025;6;MG;3147105;C;1540800;-1;784205;101;6;22;44.0;3;1;0;1;40;0;0;0;1613.85;5;0;1;0
2025;6;MG;3147105;C;2599301;-1;715210;101;7;29;45.0;3;1;0;1;40;0;0;0;2276.98;4;0;1;0
2025;6;MG;3147105;G;4631100;-1;414135;101;7;25;44.0;1;3;0;1;40;0;0;0;1518.0;8;0;1;0
2025;6;MG;3147105;C;1053800;-1;784205;101;7;36;44.0;3;3;0;1;31;0;0;0;1655.7;4;0;1;0
2025;6;MG;3147105;F;4120400;-1;715210;101;7;51;45.0;1;1;0;4;31;0;0;0;2413.62;1;0;1;0
2025;6;MG;3147105;S;9602502;-1;521110;101;7;24;44.0;3;3;0;1;31;0;0;0;1800.0;3;0;1;0
2025;6;MG;3147105;C;1052000;-1;784205;101;4;49;44.0;1;3;0;1;40;0;0;0;1518.0;10;0;1;0
2025;6;MG;3147105;G;4631100;-1;414215;101;7;20;44.0;3;1;0;1;40;0;0;0;2513.7;8;0;1;0
2025;6;MG;3147105;G;4744099;-1;521110;101;6;18;40.0;3;3;0;1;40;0;0;0;1518.0;1;0;1;0
2025;6;MG;3147105;A;0151201;-1;514320;101;5;42;44.0;4;3;2;3;31;0;0;0;2276.85;5;0;1;0
2025;6;MG;3147105;A;0155502;-1;623310;101;6;19;43.75;3;3;0;1;31;0;0;0;1518.0;9;0;1;0
2025;6;MG;3147105;C;1411801;-1;763110;101;7;27;44.0;3;3;0;1;40;0;0;0;1628.63;4;0;1;0
2025;6;MG;3147105;F;4120400;-1;715210;101;5;34;44.0;3;1;0;1;40;0;0;0;2239.93;3;0;1;0
