ano;sigla_uf;id_municipio;tipo_vinculo;vinculo_ativo_3112;tipo_admissao;mes_admissao;mes_desligamento;motivo_desligamento;causa_desligamento_1;causa_desligamento_2;causa_desligamento_3;faixa_tempo_emprego;faixa_horas_contratadas;tempo_emprego;quantidade_horas_contratadas;id_municipio_trabalho;quantidade_dias_afastamento;indicador_cei_vinculado;indicador_trabalho_parcial;indicador_trabalho_intermitente;faixa_remuneracao_media_sm;valor_remuneracao_media_sm;valor_remuneracao_media;faixa_remuneracao_dezembro_sm;valor_remuneracao_dezembro_sm;valor_remuneracao_janeiro;valor_remuneracao_fevereiro;valor_remuneracao_marco;valor_remuneracao_abril;valor_remuneracao_maio;valor_remuneracao_junho;valor_remuneracao_julho;valor_remuneracao_agosto;valor_remuneracao_setembro;valor_remuneracao_outubro;valor_remuneracao_novembro;valor_remuneracao_dezembro;tipo_salario;valor_salario_contratual;subatividade_ibge;subsetor_ibge;cbo_1994;cbo_2002;cnae_1;cnae_2;cnae_2_subclasse;faixa_etaria;idade;grau_instrucao_1985_2005;grau_instrucao_apos_2005;nacionalidade;sexo;raca_cor;indicador_portador_deficiencia;tipo_deficiencia;ano_chegada_brasil;tamanho_estabelecimento;tipo_estabelecimento;natureza_juridica;indicador_simples
2022;MG;3114402;25;1;0;;;0;;;;4;6;14.0;44;3114402;0;0;0;0;3;1.4;1705.96;1;0.39;1812.16;1812.15;1818.15;1818.04;1818.15;1818.21;1818.0;1818.06;1818.21;1818.0;1818.18;484.24;;;;25;;622015;13250;01342;0134200;7;50;;2;10;1;8;0;0;1198;3;2;;0
2022;MG;3114402;15;1;2;12;;0;;;;1;6;0.3;44;3101904;0;0;0;0;1;0.4;484.8;1;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;484.8;;;;25;;641015;13250;01342;0134200;7;55;;5;10;1;9;0;0;1198;2;2;;0
2022;MG;3114402;10;1;2;12;;0;;;;1;6;0.2;44;3114402;0;0;0;0;1;0.4;484.8;1;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;484.8;;;;25;;621005;13250;01342;0134200;3;23;;3;10;1;9;0;0;1198;2;1;2062;0
2022;MG;3114402;25;1;2;12;;0;;;;1;6;0.3;44;3109501;0;0;0;0;1;0.45;547.27;1;0.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;547.27;;;;25;;621005;13250;01342;0134200;4;27;;7;10;1;8;0;0;1198;3;2;4081;0
2022;MG;3114402;25;1;0;;;0;;;;8;6;244.0;44;3114402;0;0;0;0;1;0.42;511.86;1;0.3;282.87;202.05;767.79;444.51;565.74;565.74;484.92;363.69;323.28;484.92;565.74;363.69;;;;25;;621005;00999;01512;0151202;7;52;;2;10;1;2;0;0;1198;3;2;;0
2022;MG;3114402;25;1;2;12;;0;;;;1;6;0.1;44;3114402;0;0;0;0;1;0.37;452.57;1;0.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;452.57;;;;25;;621005;00999;01512;0151202;3;24;;7;10;2;2;0;0;1198;5;2;4120;0
2022;MG;3114402;15;1;2;12;;0;;;;1;6;0.4;44;3114402;0;0;0;0;1;0.4;484.8;1;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;484.8;;;;25;;621005;00999;01512;0151202;7;51;;2;10;1;2;0;0;1198;2;2;;0
2022;MG;3114402;15;1;2;9;;0;;;;2;3;4.0;16;3114402;0;0;0;0;1;0.38;461.12;1;0.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;447.69;465.6;465.59;465.6;;;;25;;621005;00999;01547;0154700;2;16;;6;10;1;2;0;0;1198;3;2;;0
2022;MG;3114402;15;1;2;2;;0;;;;3;4;11.0;22;3114402;0;0;0;0;1;0.5;606.0;1;0.5;0.0;606.0;606.0;606.0;606.0;606.0;606.0;606.0;606.0;606.0;606.0;606.0;;;;25;;513425;00999;01610;0161099;6;43;;7;10;2;2;0;0;1198;4;2;;0
2022;MG;3114402;10;1;0;;;0;;;;4;1;15.0;10;3114402;0;0;0;0;1;0.46;566.21;1;0.49;550.91;550.91;550.91;550.91;550.91;550.91;550.91;550.91;550.91;550.91;685.58;599.88;;;;13;;519110;15814;10911;1091102;4;26;;7;10;1;2;0;0;1198;4;1;2135;1
2022;MG;3114402;10;1;0;;;0;;;;5;6;33.7;44;3114402;0;0;0;0;3;1.44;1756.8;1;0.36;1876.7;1876.7;1876.7;1876.7;1876.7;1876.7;1876.7;1876.7;1876.7;1876.7;1876.7;437.9;;;;11;;768105;17418;13511;1351100;6;47;;7;10;1;2;0;0;1198;3;1;2135;1
2022;MG;3114402;10;1;0;;;0;;;;6;4;59.9;22;3114402;0;0;0;0;1;0.49;605.0;1;0.49;605.0;605.0;605.0;605.0;605.0;605.0;605.0;605.0;605.0;605.0;605.0;605.0;;;;4;;725705;29920;33147;3314707;6;49;;7;10;1;9;0;0;1198;2;1;2135;1
2022;MG;3114402;60;1;2;12;;0;;;;1;6;0.2;44;2208403;0;1;0;0;1;0.48;585.0;1;0.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;585.0;;;;98;;715610;00999;42995;4299599;3;21;;7;10;1;9;0;0;1198;4;3;;0
2022;MG;3114402;60;1;2;12;;0;;;;1;6;0.2;44;2208403;0;1;0;0;1;0.48;585.0;1;0.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;585.0;;;;98;;715610;00999;42995;4299599;4;29;;7;10;1;9;0;0;1198;4;3;;0
2022;MG;3114402;60;1;2;12;;0;;;;1;6;0.2;44;3114402;0;1;0;0;1;0.48;585.0;1;0.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;585.0;;;;98;;715610;00999;42995;4299599;3;23;;7;10;1;9;0;0;1198;4;3;;0
2022;MG;3114402;10;1;2;9;;0;;;;2;6;3.7;44;3114402;0;1;0;0;2;0.84;1026.67;1;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1173.33;1600.0;800.0;533.33;;;;98;;724315;00999;42995;4299599;5;35;;7;10;1;9;0;0;1198;4;3;;0
2022;MG;3114402;60;1;2;12;;0;;;;1;6;0.1;44;3522406;0;1;0;0;1;0.41;500.0;1;0.41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500.0;;;;98;;710205;00999;42995;4299599;7;51;;7;10;1;9;0;0;1198;4;3;;0
2022;MG;3114402;15;1;2;4;;0;;;;3;3;8.4;20;3114402;0;1;0;0;2;0.5;607.39;1;0.5;0.0;0.0;0.0;220.4;606.0;606.0;606.0;617.12;606.0;606.0;606.0;606.0;;;;15;;717020;45500;43991;4399103;2;17;;7;10;1;9;0;0;1198;2;3;;0
2022;MG;3114402;10;1;2;12;;0;;;;1;6;0.4;44;3114402;0;0;0;0;1;0.47;581.05;1;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;581.05;;;;16;;421125;52124;47113;4711302;4;26;;7;10;2;2;0;0;1198;6;1;2062;0
2022;MG;3114402;10;1;2;1;;0;;;;3;4;11.3;22;3114402;0;0;0;0;1;0.49;605.0;1;0.49;221.83;605.0;605.0;605.0;605.0;605.0;605.0;605.0;605.0;605.0;605.0;605.0;;;;16;;521110;52132;47121;4712100;7;55;;7;10;2;2;0;0;1198;2;1;2135;1
2022;MG;3114402;10;1;2;6;;0;;;;3;4;7.0;22;3114402;0;0;0;0;1;0.5;606.0;1;0.5;0.0;0.0;0.0;0.0;0.0;606.0;606.0;606.0;606.0;606.0;606.0;606.0;;;;16;;519110;52132;47121;4712100;7;63;;7;10;1;2;0;0;1198;2;1;2062;1
2022;MG;3114402;10;1;2;12;;0;;;;1;4;0.8;22;3114402;0;0;0;0;1;0.45;545.49;1;0.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;545.49;;;;16;;848510;52230;47229;4722901;2;17;;7;10;1;9;0;0;1198;2;1;2062;1
2022;MG;3114402;60;1;2;12;;0;;;;1;6;0.4;44;3114402;0;0;0;0;1;0.4;484.8;1;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;484.8;;;;16;;521110;52434;47547;4754701;5;36;;7;10;2;2;0;0;1198;2;1;2062;1
