ano;mes;sigla_uf;id_municipio;cnae_2_secao;cnae_2_subclasse;saldo_movimentacao;cbo_2002;categoria;grau_instrucao;idade;horas_contratuais;raca_cor;sexo;tipo_empregador;tipo_estabelecimento;tipo_movimentacao;tipo_deficiencia;indicador_trabalho_intermitente;indicador_trabalho_parcial;salario_mensal;tamanho_estabelecimento_janeiro;indicador_aprendiz;origem_informacao;indicador_fora_prazo
2025;6;MG;3145208;C;1532700;-1;764205;101;7;33;44.0;3;3;0;1;31;0;0;0;2862.0;6;0;1;0
2025;6;MG;3145208;C;1533500;-1;784205;101;6;26;44.0;2;1;0;1;31;0;0;0;1811.0;6;0;1;0
2025;6;MG;3145208;C;1539400;-1;764105;101;7;43;44.0;1;1;0;1;31;0;0;0;2977.54;6;0;1;0
2025;6;MG;3145208;G;4711302;-1;141415;101;9;39;44.0;3;3;0;1;31;0;0;0;2129.0;3;0;1;0
2025;6;MG;3145208;C;1540800;-1;764210;101;5;23;44.0;3;1;0;1;40;0;0;0;2438.0;1;0;1;0
2025;6;MG;3145208;G;4712100;-1;421125;101;6;20;44.0;3;3;0;1;40;0;0;0;1628.63;3;0;1;0
2025;6;MG;3145208;C;1539400;-1;764210;101;2;24;43.5;3;1;0;1;31;0;0;0;2438.0;6;0;1;0
2025;6;MG;3145208;C;1540800;-1;784205;101;7;31;43.75;3;1;0;1;31;0;0;0;2243.08;4;0;1;0
2025;6;MG;3145208;C;2342702;-1;411005;101;9;35;29.25;1;3;0;1;31;0;0;0;1518.0;3;0;1;0
2025;6;MG;3145208;Q;8640207;-1;514320;101;7;46;25.0;1;3;0;1;31;0;0;0;1162.5;2;0;1;0
2025;6;MG;3145208;C;1533500;-1;764205;101;8;28;44.0;3;3;0;1;40;0;0;0;2644.0;6;0;1;0
2025;6;MG;3145208;G;4741500;-1;519110;101;7;28;44.0;3;1;0;1;40;0;0;0;2384.62;3;0;1;0
2025;6;MG;3145208;C;1532700;-1;764105;101;4;36;44.0;2;1;0;1;31;0;0;0;2920.0;7;0;1;0
2025;6;MG;3145208;C;1533500;-1;764120;101;5;27;44.0;3;3;0;1;31;0;0;0;2332.0;5;0;1;0
2025;6;MG;3145208;C;1539400;-1;764115;101;6;24;44.0;1;1;0;1;31;0;0;0;2360.0;5;0;1;0
2025;6;MG;3145208;F;4120400;-1;252545;101;8;31;44.0;1;1;0;1;31;0;0;0;3200.0;2;0;1;0
2025;6;MG;3145208;C;1532700;-1;764305;101;7;36;44.0;1;3;0;1;40;0;0;0;1733.0;8;0;1;0
2025;6;MG;3145208;C;1533500;-1;764115;101;6;46;44.0;3;1;0;1;40;0;0;0;2000.0;4;0;1;0
2025;6;MG;3145208;G;4689399;-1;782310;101;4;42;45.0;3;1;0;1;40;0;0;0;2500.0;2;0;1;0
2025;6;MG;3145208;C;1532700;-1;764205;101;7;34;44.0;3;1;0;1;31;0;0;0;3074.0;5;0;1;0
2025;6;MG;3145208;C;1533500;-1;764115;101;6;24;44.0;6;1;0;1;31;0;0;0;1802.0;4;0;1;0
2025;6;MG;3145208;C;1539400;-1;411005;101;6;18;44.0;3;3;0;1;31;0;0;0;1800.0;4;0;1;0
